gene,discovery_log2FoldChange,discovery_lfcSE,discovery_pvalue,discovery_padj,discovery_test_status,validation_log2FoldChange,validation_lfcSE,validation_pvalue,validation_padj,validation_test_status,discovery_candidate,mapping_status,testable,same_direction,replicated,replicated_large_effect,validation_outcome,lfc_difference
A2M,-2.6168478210150194,0.3835375030082726,8.920490516534268e-12,7.209128720516078e-10,tested,0.6403706235938694,0.3550194219292937,0.07126858952577342,0.12139940099580643,tested,True,matched_exact_symbol,True,False,False,False,not_significant,3.2572184446088888
A2ML1,-2.7532805993504765,0.408797526371128,1.6384925919218975e-11,1.2473915341109751e-09,tested,-2.1058608361806272,0.7218627872949768,0.0035312222425251546,0.009457211857325433,tested,True,matched_exact_symbol,True,True,True,True,replicated,0.6474197631698493
AATF,1.3993586531093516,0.4470963724527921,0.0017487684799917,0.0178374384959161,tested,0.7502973751686708,0.14486899750498466,2.2290655706336487e-07,1.902860852979944e-06,tested,True,matched_exact_symbol,True,True,True,False,replicated,-0.6490612779406808
ABCA10,-4.095694934067542,0.6578714898756906,4.794831712192824e-10,2.6100778221915964e-08,tested,-2.0318715453679954,0.37899442570673364,8.266291913766338e-08,7.831271583862996e-07,tested,True,matched_exact_symbol,True,True,True,True,replicated,2.063823388699547
ABCA12,2.2559897106827043,0.3984389473895758,1.4955669385365152e-08,6.113784535511528e-07,tested,1.7155962641255276,0.6363200201001968,0.007015201465362876,0.0169699615336397,tested,True,matched_exact_symbol,True,True,True,True,replicated,-0.5403934465571767
ABCA5,-1.7493548110388355,0.4543421391080622,0.0001179718829536,0.0018750568870065,tested,-1.479621041709774,0.16209721561839965,6.978569314325237e-20,7.595576967116189e-18,tested,True,matched_exact_symbol,True,True,True,True,replicated,0.26973376932906157
ABCA6,-3.399550454681565,0.4591631942315088,1.323460465845011e-13,1.4188036381803759e-11,tested,-1.4731894953705378,0.36117697464558063,4.525752084898732e-05,0.0002095581704680736,tested,True,matched_exact_symbol,True,True,True,True,replicated,1.9263609593110271
ABCA7,-1.1831708055133607,0.4210803240771583,0.0049565231845297,0.0412624663840483,tested,-1.5771868149642188,0.24425999486462188,1.0679881646742943e-10,1.9940992405267944e-09,tested,True,matched_exact_symbol,True,True,True,True,replicated,-0.394016009450858
ABCA8,-3.9921811355564496,0.4388237014676428,9.246887503289508e-20,3.598066670724429e-17,tested,-3.261019104776984,0.40199210416140396,4.973301918323314e-16,3.029810213039971e-14,tested,True,matched_exact_symbol,True,True,True,True,replicated,0.7311620307794655
ABCA9,-3.34378085359957,0.5464709245511464,9.42452413923135e-10,4.8536299317041466e-08,tested,-1.4125079004920988,0.3591650505102866,8.397805944128215e-05,0.0003626048285019077,tested,True,matched_exact_symbol,True,True,True,True,replicated,1.931272953107471
ABCC9,-3.8242866349699214,0.4597791976998562,8.971760698720184e-17,1.7137694163773502e-14,tested,-0.4029948428769604,0.39369991940893373,0.30601991804957607,0.4026874704891215,tested,True,matched_exact_symbol,True,True,False,False,not_significant,3.421291792092961
ABI3BP,-4.7993075029953065,0.5682896904653969,3.035829229538439e-17,6.5090656909246616e-15,tested,-2.284666297070328,0.37378000759939856,9.818763224263706e-10,1.4556887338297938e-08,tested,True,matched_exact_symbol,True,True,True,True,replicated,2.5146412059249785
ABLIM2,-1.9806884803749576,0.4800479082619622,3.690911408645174e-05,0.00066626658521,tested,-0.5520384484811705,0.3856079972023265,0.15225681498140864,0.22838522247211296,tested,True,matched_exact_symbol,True,True,False,False,not_significant,1.4286500318937871
ABLIM3,-2.909094278479283,0.4424790415242299,4.880520217098043e-11,3.351290549073989e-09,tested,-0.3975492379127856,0.33358762275633735,0.23336376783922974,0.32411634422115243,tested,True,matched_exact_symbol,True,True,False,False,not_significant,2.511545040566497
ABO,-2.320638707750786,0.5904511181238177,8.484670557644098e-05,0.0013884727239658,tested,-2.7028508664176796,0.5517419054451239,9.644363473356364e-07,7.066990476166301e-06,tested,True,matched_exact_symbol,True,True,True,True,replicated,-0.3822121586668934
ACAA1,-1.1709583566720887,0.4190119339494967,0.0051968720766528,0.0427886661734445,tested,-0.8233422651193314,0.18459745159903385,8.188173157653823e-06,4.736192186134826e-05,tested,True,matched_exact_symbol,True,True,True,False,replicated,0.3476160915527573
ACACB,-3.0166948500769832,0.5779406153659333,1.791826873128718e-07,6.0725590739001e-06,tested,-2.000590259032977,0.3009510643591217,2.979915161197519e-11,6.362617898011448e-10,tested,True,matched_exact_symbol,True,True,True,True,replicated,1.016104591044006
ACHE,-2.7501105716335577,0.5658345929747458,1.1722401237128872e-06,3.1417231478896924e-05,tested,-1.388680495717977,0.3932775386719479,0.0004139220809632422,0.0014732819830895062,tested,True,matched_exact_symbol,True,True,True,True,replicated,1.3614300759155806
ACOT7,1.969540318688888,0.4326563192065041,5.308653478534765e-06,0.0001209820248275,tested,1.4269397760604003,0.2904997840094694,9.014439563165495e-07,6.665606719242091e-06,tested,True,matched_exact_symbol,True,True,True,True,replicated,-0.5426005426284877
ACP5,1.8179119776009256,0.4532757315757831,6.056219211874053e-05,0.0010379549598686,tested,1.252818958621739,0.22933290620326272,4.684619482484674e-08,4.705709497037222e-07,tested,True,matched_exact_symbol,True,True,True,True,replicated,-0.5650930189791865
ACPP,-1.405659841271783,0.4924995197155595,0.004315426484721,0.0371317531928575,tested,-2.3194654852216043,0.5052413588577386,4.415358258348529e-06,2.7280770132059968e-05,tested,True,matched_exact_symbol,True,True,True,True,replicated,-0.9138056439498214
ACSL5,-1.8467993631915096,0.5671742669543797,0.0011293766634525,0.0124373492937449,tested,0.2321078164517982,0.35164845594285826,0.509217631913859,0.6025944530404657,tested,True,matched_exact_symbol,True,False,False,False,not_significant,2.078907179643308
ACTA1,-6.371021644043193,0.6628616465935754,7.157628406062985e-22,5.784464925699826e-19,tested,-3.0161858170572677,0.7254896403813442,3.218217938561494e-05,0.00015521532073310638,tested,True,matched_exact_symbol,True,True,True,True,replicated,3.354835826985925
ACTA2,-1.5161346235662916,0.5380386641757965,0.0048340129355602,0.0405316359944101,tested,0.6450784719433816,0.4569531089539686,0.15803975218325128,0.23547659235985272,tested,True,matched_exact_symbol,True,False,False,False,not_significant,2.161213095509673
ACTC1,-4.254564242175488,0.6118022831349552,3.546965461747789e-12,3.0797040612497744e-10,tested,0.7583224817497971,0.693872824354172,0.2744447505752976,0.36841684573731387,tested,True,matched_exact_symbol,True,False,False,False,not_significant,5.012886723925285
ACTN2,-5.43509594297806,0.6267976411674762,4.275405480485151e-18,1.151728460973769e-15,tested,-1.550732023190576,0.7314586665338656,0.03400147416635186,0.06510687769463427,tested,True,matched_exact_symbol,True,True,False,False,not_significant,3.884363919787484
ACVRL1,-1.462112580072927,0.489562379023548,0.0028212573970054,0.0263467824115012,tested,0.9529887061129052,0.30351896471548917,0.0016906347713715145,0.004993849192285543,tested,True,matched_exact_symbol,True,False,False,False,significant_opposite_direction,2.4151012861858323
ADAMTS1,-2.246948468821892,0.380309343891029,3.458394559246537e-09,1.5728958112313473e-07,tested,-0.1091055540404708,0.41608662856885953,0.7931530980068717,0.8434782722325088,tested,True,matched_exact_symbol,True,True,False,False,not_significant,2.1378429147814213
