gene,GSM5593747,GSM5593748,GSM5593749,GSM5593750,GSM5593751,GSM5593752,GSM5593753,GSM5593754,GSM5593755,GSM5593756,GSM5593757,GSM5593758,GSM5593759,GSM5593760,GSM5593761,GSM5593762,GSM5593763,GSM5593764,GSM5593765,GSM5593766,GSM5593767,GSM5593768,GSM5593769,GSM5593770,GSM5593771,GSM5593772,GSM5593773,GSM5593774,GSM5593775,GSM5593776
TSPAN6,1483,905,3846,1478,494,1113,912,1748,2734,1527,1723,461,530,1605,1697,748,4254,1239,1184,1814,1701,1109,773,1116,2044,1020,2541,1224,1533,1389
DPM1,758,1182,1032,1864,810,1156,734,1144,974,1592,707,1065,862,1484,261,1146,1192,1243,928,1318,484,1027,398,981,962,895,540,1407,823,906
SCYL3,536,366,744,490,623,956,687,555,784,399,722,691,834,878,233,469,803,450,484,510,701,442,268,249,580,372,478,650,559,225
C1orf112,129,391,181,318,144,371,213,374,163,326,179,413,254,1161,24,277,260,205,248,350,126,262,71,123,172,182,121,268,130,221
FGR,74,134,206,63,84,220,360,539,51,62,90,201,65,146,11,317,72,51,148,61,239,55,125,81,103,136,75,215,52,76
CFH,872,4148,3876,1972,968,4379,4109,4165,1411,1432,2018,9537,3084,10347,360,1783,1439,645,3846,5556,6454,2039,6746,1688,1814,10040,2220,4101,624,1305
FUCA2,289,1513,564,1457,391,1495,454,1284,319,720,458,1354,468,1213,376,1607,1058,1324,598,1152,923,1732,825,621,470,1394,360,878,308,766
GCLC,2722,3199,2581,2361,6742,3229,6913,4262,2854,2068,1303,3465,3623,6548,306,2194,2951,2017,3554,1427,1154,2505,457,1093,3589,949,1078,2162,1915,1060
NFYA,673,766,800,1945,631,824,760,886,740,2472,909,1472,860,1055,85,1012,811,963,761,1580,467,484,300,446,505,1076,599,703,498,598
STPG1,193,661,261,324,280,552,238,400,243,370,287,393,243,325,23,390,183,249,208,429,163,325,81,127,233,144,167,201,238,162
NIPAL3,1863,1732,1770,1472,1355,1374,1507,2987,2331,601,3076,2201,1324,2336,576,1665,2242,1383,1933,1273,2115,617,540,711,1935,1027,1272,1002,1504,626
LAS1L,653,1009,972,1703,765,984,768,1021,736,1193,601,934,1039,1500,156,1144,909,1005,957,1382,524,793,189,491,749,480,516,1473,512,732
ENPP4,111,75,212,52,40,138,214,535,308,52,152,85,124,769,856,82,851,51,343,99,1223,54,1095,152,231,444,198,345,146,110
SEMA3F,4085,1977,2641,1928,3625,1412,3443,2308,4540,1582,3126,2315,2713,2453,194,2798,2208,2203,3645,1973,553,1510,168,1192,3143,950,2315,2047,3330,728
CFTR,239,1,1291,1,144,0,295,465,294,2,16,0,877,38,1201,0,488,21,39,1,1240,2,180,95,62,0,86,18,224,0
ANKIB1,2248,4758,2818,3071,3079,3604,2801,3354,2893,5056,1942,4041,3832,3679,814,2881,2879,2227,2124,3044,2100,2122,1202,1738,2378,3281,1610,2264,2211,1761
CYP51A1,4122,4336,3693,2275,3871,2820,2529,4873,5798,3992,4413,2953,3404,6331,529,993,4549,4325,6426,4346,3312,7654,1006,1596,4932,1621,2144,3374,4232,1694
KRIT1,1054,1845,1340,910,1299,1230,1021,1435,1132,1430,1139,1547,1825,1747,318,909,1291,1170,1149,1316,1069,1139,572,592,1058,1034,955,1029,904,752
RAD52,127,131,222,149,175,149,159,173,162,187,111,184,394,325,53,192,210,108,206,275,178,79,130,65,148,169,178,202,155,86
BAD,439,694,385,1010,417,259,439,556,682,460,365,554,353,854,380,860,619,414,477,1069,436,309,399,374,499,649,310,400,385,448
