gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pvalue_model,model_converged,test_status,direction
TSPAN6,1617.3918050011707,-0.6340448300068513,0.3074330095300916,-2.062383707513981,0.039171219203732115,0.07322298280308076,0.039171219203732115,True,tested,not_significant
DPM1,951.6944907588132,0.476564088267319,0.12085682372670674,3.94321208825554,8.039749589674914e-05,0.0003487473394306129,8.039749589674914e-05,True,tested,not_significant
SCYL3,538.7092243032446,-0.5258507511824032,0.12512317676893422,-4.202664644244888,2.6379125012571122e-05,0.0001308691999650902,2.6379125012571122e-05,True,tested,not_significant
C1orf112,226.8337560264236,0.8244551836070274,0.14604164545128648,5.645343018831105,1.648522319803614e-08,1.8368366671969107e-07,1.648522319803614e-08,True,tested,not_significant
FGR,125.93657470143988,0.16734274983229044,0.29051556654292415,0.5760199077234825,0.5646017256256306,0.6519270847026009,0.5646017256256306,True,tested,not_significant
CFH,3214.9745176726233,0.405645870228359,0.31951862004053844,1.2695531489742078,0.20424384708431076,0.29056767916274384,0.20424384708431076,True,tested,not_significant
FUCA2,859.1608761366671,1.026649295274406,0.1776062506463053,5.780479524444953,7.44880038969377e-09,9.002104736359769e-08,7.44880038969377e-09,True,tested,up
GCLC,2433.0624961055323,-0.15061561481928848,0.24647843460846172,-0.61107015329169,0.541153138073361,0.6312215588191527,0.541153138073361,True,tested,not_significant
NFYA,784.4243677138561,0.5170724711426588,0.16456628246002053,3.142031669022332,0.0016777988740099732,0.004958395678986427,0.0016777988740099732,True,tested,not_significant
STPG1,248.56010060312795,0.48666869020835135,0.1777663313746815,2.737687651226769,0.006187280998217223,0.015235613990643873,0.006187280998217223,True,tested,not_significant
NIPAL3,1477.3042065824168,-0.5811731191736591,0.19148610568129704,-3.035066785163744,0.002404824290293828,0.006784591999643564,0.002404824290293828,True,tested,not_significant
LAS1L,797.5072487985082,0.46086984931351377,0.1338279275541414,3.4437494306041936,0.0005737071278713025,0.0019588125922920334,0.0005737071278713025,True,tested,not_significant
ENPP4,381.1811231587697,-1.2761461762716109,0.467159359985142,-2.7317148827162505,0.0063005639405289875,0.01546974777695219,0.0063005639405289875,True,tested,down
SEMA3F,2108.658604423013,-0.5176128214487891,0.3199917472207979,-1.617581784356552,0.10575275733162232,0.16870731487615961,0.10575275733162232,True,tested,not_significant
CFTR,333.90225185437,-6.84016572423704,0.7468079435074456,-9.159203224475135,5.228190229186381e-20,5.869383370501692e-18,5.228190229186381e-20,True,tested,down
ANKIB1,2581.836963036466,0.17217906009244152,0.09929563603794073,1.734004302330589,0.08291731980117768,0.13778374764900853,0.08291731980117768,True,tested,not_significant
CYP51A1,3441.254860029369,-0.3117933078670961,0.2213099492943545,-1.4088535506932574,0.15887847670908073,0.2364696747483608,0.15887847670908073,True,tested,not_significant
KRIT1,1088.3969156749358,-0.07614723173686272,0.10335766126659374,-0.7367352434615729,0.46128336997762265,0.5573619545184163,0.46128336997762265,True,tested,not_significant
RAD52,160.12528226267048,-0.3520418701263957,0.1237198668258978,-2.8454756633532368,0.004434514791260355,0.011481881204525287,0.004434514791260355,True,tested,not_significant
BAD,513.5507505194356,0.0719091326640791,0.18298872270867017,0.3929702967464452,0.6943414199626865,0.7624258333128663,0.6943414199626865,True,tested,not_significant
LAP3,2546.9954325213102,0.473922191631916,0.2202905002749719,2.1513510162279124,0.0314485043737465,0.06097716739858517,0.0314485043737465,True,tested,not_significant
CD99,2431.498506358896,0.25745554128055254,0.16704009424343405,1.541279909153742,0.12324867642614946,0.1914365536204984,0.12324867642614946,True,tested,not_significant
HS3ST1,298.40645197224654,-0.6286247749041116,0.4367421727528332,-1.439349836407649,0.15005142942846292,0.2255834400899888,0.15005142942846292,True,tested,not_significant
AOC1,106.90790825921573,1.4657398295429602,0.5113985820162219,2.8661397999270672,0.004155107093397781,0.010850645986331326,0.004155107093397781,True,tested,up
HECW1,81.76815259176074,0.9295387746546865,0.3456227041354664,2.6894609744455757,0.007156751456893478,0.017260912512572432,0.007156751456893478,True,tested,not_significant
MAD1L1,503.51988000779545,0.7073726889713137,0.17770598008513688,3.980578980135725,6.874761795894032e-05,0.0003028492054706527,6.874761795894032e-05,True,tested,not_significant
LASP1,3397.6341837841173,0.8351830801259713,0.17481432931872448,4.777543599433724,1.7744958268698167e-06,1.2107988491178596e-05,1.7744958268698167e-06,True,tested,not_significant
SNX11,573.5607123401874,0.04835769176624218,0.17710242849989719,0.27304928665204753,0.784815329230546,0.8366325065591688,0.784815329230546,True,tested,not_significant
TMEM176A,168.52375415889625,1.0092642796163342,0.3134315611414602,3.220046749410873,0.001281696934700522,0.003935034448641953,0.001281696934700522,True,tested,up
M6PR,2869.3076720167505,0.5844360213148515,0.11144814915317873,5.244017291947842,1.5711746513075328e-07,1.3925256964170537e-06,1.5711746513075328e-07,True,tested,not_significant
KLHL13,323.28594903799166,0.2788577436935778,0.17381111286482975,1.6043723505207703,0.10863200187438918,0.17256218149486935,0.10863200187438918,True,tested,not_significant
CYP26B1,441.0704540767827,1.4887851983444595,0.3553476772714303,4.1896578859786935,2.7937533964462144e-05,0.0001376978300287622,2.7937533964462144e-05,True,tested,up
ICA1,277.57490144439004,-2.8777192450303803,0.3650955788139173,-7.882098310747013,3.219285700427987e-15,1.6068223472199634e-13,3.219285700427987e-15,True,tested,down
DBNDD1,277.59927086354327,-2.400329881532935,0.382033254363859,-6.283039117968496,3.3201747527477516e-10,5.462222980326946e-09,3.3201747527477516e-10,True,tested,down
ALS2,900.2418019081894,0.2835400547786526,0.13708433624214256,2.0683621670517782,0.038605979985165496,0.07240142285513806,0.038605979985165496,True,tested,not_significant
CASP10,619.3018530938572,0.5187269992554225,0.22244696717116336,2.3319131110305698,0.019705262602918674,0.04091890849954611,0.019705262602918674,True,tested,not_significant
CFLAR,4396.055693656197,-0.5075126360323675,0.15096308438263967,-3.361832716308293,0.0007742701475766587,0.0025475985500909414,0.0007742701475766587,True,tested,not_significant
TFPI,622.265510533185,-0.09876560058869822,0.3098631888057358,-0.31873937968997623,0.7499241502341514,0.8090261139658892,0.7499241502341514,True,tested,not_significant
NDUFAF7,294.44932239292444,-0.1352957764489292,0.124520698188278,-1.0865324272785482,0.2772435023918014,0.3714476107253362,0.2772435023918014,True,tested,not_significant
RBM5,2088.2554913378985,-0.6475220057628941,0.12540017350625496,-5.1636452140203435,2.421865354962493e-07,2.0416985684438535e-06,2.421865354962493e-07,True,tested,not_significant
SLC7A2,1226.4291305974575,-3.2866846812384507,0.3379281371895472,-9.725987035506657,2.3362844494530377e-22,3.971683564070164e-20,2.3362844494530377e-22,True,tested,down
ARF5,2507.7855210492357,0.03749036401546179,0.19259903326634484,0.19465499582033954,0.8456630460106355,0.8832700626851868,0.8456630460106355,True,tested,not_significant
SARM1,254.16186642464348,-1.9665977699750032,0.23652132951092372,-8.31467408897757,9.200475487206355e-17,6.268262879642497e-15,9.200475487206355e-17,True,tested,down
POLDIP2,2213.422549377079,-0.024946847890376957,0.18667807045167567,-0.13363566395354837,0.8936906813611115,0.9202941422808262,0.8936906813611115,True,tested,not_significant
PLXND1,1132.7460503850098,1.2143004066067218,0.28050681093692204,4.328951594974938,1.4982085558654874e-05,7.994924580627489e-05,1.4982085558654874e-05,True,tested,up
AK2,3226.240148913371,0.2996582882438005,0.15369472805493645,1.9496978981392972,0.05121213699393336,0.09189150033591781,0.05121213699393336,True,tested,not_significant
CD38,339.64110594274723,0.6422539523363844,0.4736128661223863,1.3560737012799384,0.17507571944985845,0.25596704006716137,0.17507571944985845,True,tested,not_significant
FKBP4,3202.884271469513,-0.051728144708647346,0.15962682844795456,-0.3240567090857977,0.745895101010214,0.8057508807209102,0.745895101010214,True,tested,not_significant
KDM1A,2508.8157529821933,0.716462727884006,0.12636693782130903,5.6697007954496,1.4304711221285283e-08,1.6170937004429532e-07,1.4304711221285283e-08,True,tested,not_significant
RBM6,1337.835988259965,-0.7139696061420588,0.17179680925776628,-4.155895614282389,3.240157452644656e-05,0.00015614689667847493,3.240157452644656e-05,True,tested,not_significant
CAMKK1,347.0812266818734,-0.5684653814045368,0.26367444119508154,-2.155936611937118,0.03108861514077652,0.06044350073661484,0.03108861514077652,True,tested,not_significant
RECQL,1684.9059391154767,1.11882456556689,0.17537897367347527,6.379468086350784,1.7770411062832678e-10,3.1593808513103916e-09,1.7770411062832678e-10,True,tested,up
VPS50,1033.3404585159767,0.04596895630888508,0.10204263179453442,0.4504877569352073,0.6523587801317412,0.7276911350211964,0.6523587801317412,True,tested,not_significant
HSPB6,98.47526418324054,-2.883181294037726,0.4837175803668689,-5.960464144906656,2.515224894232455e-09,3.38587966531292e-08,2.515224894232455e-09,True,tested,down
ARHGAP33,54.520488179078974,-1.132745318227111,0.22002961656860845,-5.148149307772413,2.6306906178690363e-07,2.196393578985553e-06,2.6306906178690363e-07,True,tested,down
NDUFAB1,1016.9637028094395,-0.11258731847518144,0.21202990787958415,-0.530997346558873,0.5954206179143868,0.6791219188352591,0.5954206179143868,True,tested,not_significant
PDK4,1534.2217550476364,-2.5463052950721243,0.4264617122129681,-5.970771166909682,2.3613475243235106e-09,3.20776661409244e-08,2.3613475243235106e-09,True,tested,down
SLC25A13,894.2202343535906,0.6255782800917372,0.149803942234034,4.175980089458633,2.9670577260112136e-05,0.0001451808673500553,2.9670577260112136e-05,True,tested,not_significant
ST7,426.19956979323376,0.18094815066341427,0.18128126977977246,0.998162418451929,0.3182006068035378,0.4150748575582096,0.3182006068035378,True,tested,not_significant
CDC27,2492.1098694847883,0.5379534006239329,0.10841330778656771,4.9620605773139665,6.974923322789641e-07,5.311535038899109e-06,6.974923322789641e-07,True,tested,not_significant
HCCS,599.6572326855894,0.4755481214368299,0.13341781368050082,3.564352527733947,0.00036475545702775253,0.0013155960614155146,0.00036475545702775253,True,tested,not_significant
DVL2,743.0786949102684,-0.05624379097843245,0.14513953586583397,-0.38751530134713835,0.6983747592942262,0.7660907312302415,0.6983747592942262,True,tested,not_significant
PRSS22,673.2453663033878,0.09991139198715687,0.4860685098971765,0.20555002011607837,0.8371424218960732,0.8766274921298197,0.8371424218960732,True,tested,not_significant
UPF1,2504.488467573747,0.17131999624951721,0.13893725146402006,1.2330746034218416,0.21754793166831154,0.30588661522484134,0.21754793166831154,True,tested,not_significant
SKAP2,677.2109664040605,1.856316266729749,0.2483298955026507,7.475202544471471,7.708503295109568e-14,2.8196062257726596e-12,7.708503295109568e-14,True,tested,up
SLC25A5,6572.9110688714445,0.4577749556327954,0.25646312563483575,1.7849542872864965,0.0742687319437738,0.12557515062956923,0.0742687319437738,True,tested,not_significant
MCUB,568.7794484285926,1.3538770347028737,0.2825459512162059,4.791705663716549,1.6536938587584847e-06,1.1361984364449172e-05,1.6536938587584847e-06,True,tested,up
POLR2J,578.9836356793581,0.1313383907777538,0.17001275498590893,0.7725208075631705,0.43980602794606627,0.5370826844658468,0.43980602794606627,True,tested,not_significant
DHX33,722.9660402806762,0.3582551187819578,0.15858274507221504,2.2591052930684006,0.023876835978074665,0.048278378138721434,0.023876835978074665,True,tested,not_significant
