gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pvalue_model,model_converged,test_status,refseq,exons,direction
A2M,2809.397129904679,-2.6168478210150194,0.3835375030082726,-6.822925530071505,8.920490516534268e-12,7.209128720516078e-10,8.920490516534268e-12,True,tested,NM_000014,36,down
A2ML1,6895.406940322641,-2.7532805993504765,0.408797526371128,-6.73507157391873,1.6384925919218975e-11,1.2473915341109751e-09,1.6384925919218975e-11,True,tested,NM_144670,36,down
AATF,456.83817787414654,1.3993586531093516,0.4470963724527921,3.1298814737243403,0.0017487684799917,0.0178374384959161,0.0017487684799917,True,tested,NM_012138,12,up
ABCA10,259.8122267830801,-4.095694934067542,0.6578714898756906,-6.225676286475727,4.794831712192824e-10,2.6100778221915964e-08,4.794831712192824e-10,True,tested,NM_080282,40,down
ABCA12,902.9817597581572,2.2559897106827043,0.3984389473895758,5.662071254487325,1.4955669385365152e-08,6.113784535511528e-07,1.4955669385365152e-08,True,tested,NM_173076,53,up
ABCA5,860.8678764239297,-1.7493548110388355,0.4543421391080622,-3.850302801481426,0.0001179718829536,0.0018750568870065,0.0001179718829536,True,tested,NM_172232,39,down
ABCA6,350.66564261611137,-3.399550454681565,0.4591631942315088,-7.403795638218165,1.323460465845011e-13,1.4188036381803759e-11,1.323460465845011e-13,True,tested,NM_080284,39,down
ABCA7,630.9133859833122,-1.1831708055133607,0.4210803240771583,-2.809845860422008,0.0049565231845297,0.0412624663840483,0.0049565231845297,True,tested,NM_019112,47,down
ABCA8,386.7871435364616,-3.9921811355564496,0.4388237014676428,-9.097460146761964,9.246887503289508e-20,3.598066670724429e-17,9.246887503289508e-20,True,tested,NM_007168,38,down
ABCA9,217.33899049828696,-3.34378085359957,0.5464709245511464,-6.11886324299146,9.42452413923135e-10,4.8536299317041466e-08,9.42452413923135e-10,True,tested,NM_080283,39,down
ABCC9,402.4219301230606,-3.8242866349699214,0.4597791976998562,-8.317659115727142,8.971760698720184e-17,1.7137694163773502e-14,8.971760698720184e-17,True,tested,NM_005691,38,down
ABI3BP,425.3787851648219,-4.7993075029953065,0.5682896904653969,-8.445177844181806,3.035829229538439e-17,6.5090656909246616e-15,3.035829229538439e-17,True,tested,NM_015429,35,down
