gene,discovery_log2FoldChange,discovery_lfcSE,discovery_pvalue,discovery_padj,discovery_test_status,validation_log2FoldChange,validation_lfcSE,validation_pvalue,validation_padj,validation_test_status,discovery_candidate,mapping_status,testable,same_direction,replicated,replicated_large_effect,validation_outcome,lfc_difference
A2M,-2.6168478210150194,0.3835375030082726,8.920490516534268e-12,7.209128720516078e-10,tested,0.6403706235938694,0.3550194219292937,0.07126858952577342,0.12139940099580643,tested,True,matched_exact_symbol,True,False,False,False,not_significant,3.2572184446088888
A2ML1,-2.7532805993504765,0.408797526371128,1.6384925919218975e-11,1.2473915341109751e-09,tested,-2.1058608361806272,0.7218627872949768,0.0035312222425251546,0.009457211857325433,tested,True,matched_exact_symbol,True,True,True,True,replicated,0.6474197631698493
A4GALT,0.2789365784407054,0.5826913702622811,0.632149355651229,0.8567932474833015,tested,0.2546161127479383,0.33073607585285325,0.44139076910306874,0.5383917745312133,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.024320465692767135
AAAS,-0.3545949369952451,0.4696681747216557,0.4502547757163397,0.7560135326315911,tested,-0.14135485438154416,0.08911700086749774,0.11270039203909801,0.17783787110129948,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.21324008261370092
AACS,0.5796907565342625,0.3946997534787557,0.1419174578185767,0.4251453697867029,tested,-0.6974112352197621,0.20044932726175366,0.0005028388078702188,0.0017438649155786681,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,-1.2771019917540247
AADACL1,0.6751958081254912,0.4563531834912418,0.1389942822523433,0.4194983996963857,tested,,,,,,False,not_in_validation_source,False,False,False,False,not_a_discovery_candidate,
AAK1,-0.1151348929701304,0.3927703220326458,0.7694186447249274,0.92537323988372,tested,0.5533403790034327,0.17750797296357226,0.0018253396522730416,0.005333493663950531,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,0.668475271973563
AARS,1.078632414072969,0.434536887464881,0.0130552923646232,0.0886612162784302,tested,0.668800439047145,0.14565225679702662,4.3952027760685535e-06,2.7203318152851487e-05,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.409831975025824
AARS2,-0.2979117837713093,0.4234634692515861,0.4817365080695334,0.7755322944803122,tested,-0.42441473297540167,0.17283591234694315,0.014065218070362139,0.03069619055580929,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.12650294920409239
AARSD1,-0.2605281513918552,0.5202038708129021,0.6164982838913086,0.849911218725706,tested,-0.086817487697907,0.11852232296561171,0.463864028930122,0.5597094962724508,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.17371066369394822
AASDH,-0.434210984199633,0.5331685751773712,0.4154174535047817,0.7330759348303113,tested,-0.2722111433489866,0.11286496758532874,0.015872669469938615,0.03397406144054874,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.1619998408506464
AASDHPPT,-0.0814798726143332,0.4564223884169464,0.8583157377884825,0.9595268580408776,tested,-0.15951969838644633,0.1504423139284139,0.2889908691304748,0.3841589971685266,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.07803982577211313
AASS,-1.7823663254080775,0.6797707169380739,0.0087412598990775,0.0642207527969987,tested,-1.2663989575060366,0.20185289470260367,3.5218105813087217e-10,5.729828215708793e-09,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.5159673679020409
AATF,1.3993586531093516,0.4470963724527921,0.0017487684799917,0.0178374384959161,tested,0.7502973751686708,0.14486899750498466,2.2290655706336487e-07,1.902860852979944e-06,tested,True,matched_exact_symbol,True,True,True,False,replicated,-0.6490612779406808
ABAT,-1.0897051629321195,0.5451055715459555,0.0456005884155753,0.2147376879847755,tested,-1.3954686668853225,0.30514804857431177,4.805897682896792e-06,2.9499750219982027e-05,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.30576350395320295
ABBA-1,0.3193638267566422,0.4479996237986682,0.4759285047248481,0.7708169172688133,tested,,,,,,False,not_in_validation_source,False,False,False,False,not_a_discovery_candidate,
ABCA1,-0.4597600915739793,0.4227997162021756,0.2768520468549085,0.6052034132870722,tested,1.4488769802395014,0.238318814063102,1.2050189952515032e-09,1.7414009951255057e-08,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,1.9086370718134806
ABCA10,-4.095694934067542,0.6578714898756906,4.794831712192824e-10,2.6100778221915964e-08,tested,-2.0318715453679954,0.37899442570673364,8.266291913766338e-08,7.831271583862996e-07,tested,True,matched_exact_symbol,True,True,True,True,replicated,2.063823388699547
ABCA11P,-0.7036601416387992,0.5361455819761554,0.1893709418704611,0.4980052854295531,tested,-0.5577414880621518,0.2222970404359308,0.012107623880176171,0.027021891255456947,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.14591865357664735
ABCA12,2.2559897106827043,0.3984389473895758,1.4955669385365152e-08,6.113784535511528e-07,tested,1.7155962641255276,0.6363200201001968,0.007015201465362876,0.0169699615336397,tested,True,matched_exact_symbol,True,True,True,True,replicated,-0.5403934465571767
ABCA2,0.2847512905888794,0.5594429001112095,0.6107586711475339,0.8474155571943993,tested,-1.3477303657944657,0.2934218508334574,4.366064838075632e-06,2.704172705053783e-05,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,-1.632481656383345
ABCA3,-1.252833814200253,0.6743038662696776,0.0631738096586455,0.2636682923427866,tested,-1.8744820386881937,0.3755692603915188,6.005436500686035e-07,4.63855653557965e-06,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.6216482244879407
ABCA5,-1.7493548110388355,0.4543421391080622,0.0001179718829536,0.0018750568870065,tested,-1.479621041709774,0.16209721561839965,6.978569314325237e-20,7.595576967116189e-18,tested,True,matched_exact_symbol,True,True,True,True,replicated,0.26973376932906157
ABCA6,-3.399550454681565,0.4591631942315088,1.323460465845011e-13,1.4188036381803759e-11,tested,-1.4731894953705378,0.36117697464558063,4.525752084898732e-05,0.0002095581704680736,tested,True,matched_exact_symbol,True,True,True,True,replicated,1.9263609593110271
ABCA7,-1.1831708055133607,0.4210803240771583,0.0049565231845297,0.0412624663840483,tested,-1.5771868149642188,0.24425999486462188,1.0679881646742943e-10,1.9940992405267944e-09,tested,True,matched_exact_symbol,True,True,True,True,replicated,-0.394016009450858
ABCA8,-3.9921811355564496,0.4388237014676428,9.246887503289508e-20,3.598066670724429e-17,tested,-3.261019104776984,0.40199210416140396,4.973301918323314e-16,3.029810213039971e-14,tested,True,matched_exact_symbol,True,True,True,True,replicated,0.7311620307794655
ABCA9,-3.34378085359957,0.5464709245511464,9.42452413923135e-10,4.8536299317041466e-08,tested,-1.4125079004920988,0.3591650505102866,8.397805944128215e-05,0.0003626048285019077,tested,True,matched_exact_symbol,True,True,True,True,replicated,1.931272953107471
ABCB10,-0.1349501421984704,0.4493339230561782,0.7639225918603703,0.9224860151595068,tested,-0.3055877621768433,0.1462076470837364,0.036609334286170296,0.06927558751278912,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.1706376199783729
