gene,in_library
A1BG,False
A1BG-AS1,False
A2M,True
A2M-AS1,False
A2ML1,False
A4GALT,False
AAAS,True
AACS,False
AADAC,False
AADACL2,False
AADACP1,False
AADAT,True
AAGAB,False
AAK1,False
AAMDC,False
AAMP,False
AAR2,False
AARS,False
AARS2,False
AARSD1,False
AASDH,False
AASDHPPT,False
AASS,False
AATBC,False
AATF,False
AATK,False
ABAT,True
ABCA1,True
ABCA10,False
ABCA11P,False
ABCA12,False
ABCA13,False
ABCA2,True
ABCA3,True
ABCA4,True
ABCA5,True
ABCA6,True
ABCA7,False
ABCA8,True
ABCA9,True
ABCB1,True
ABCB10,False
ABCB11,True
ABCB4,True
ABCB6,True
ABCB7,True
ABCB8,True
ABCB9,True
ABCC1,True
ABCC10,False
ABCC2,True
ABCC3,True
ABCC4,True
ABCC5,True
ABCC9,False
ABCD1,True
ABCD2,True
ABCD3,True
ABCD4,False
ABCE1,True
ABCF2,True
ABCF3,False
ABCG1,False
ABCG2,True
ABCG4,True
ABHD10,False
ABHD11,False
ABHD12,False
ABHD13,False
ABHD14A,False
ABHD14B,False
ABHD15,False
ABHD16A,False
ABHD17A,False
ABHD17B,False
ABHD17C,False
ABHD18,False
ABHD2,True
ABHD3,False
ABHD4,True
ABHD5,False
ABHD6,True
ABHD8,False
ABI1,True
ABI2,False
ABI3,False
ABI3BP,True
ABITRAM,False
ABL1,True
ABL2,False
ABLIM1,True
ABLIM2,False
ABLIM3,False
ABO,False
ABR,True
ABRA,False
ABRACL,False
ABRAXAS1,False
ABRAXAS2,False
ABT1,False
ABTB1,False
ABTB2,False
AC000065.2,False
AC000068.1,False
AC000093.1,False
AC000120.1,False
AC000120.3,False
AC000123.2,False
AC000123.3,False
AC000403.1,False
AC002310.1,False
AC002350.1,False
AC002467.1,False
AC002558.3,False
AC002996.1,False
AC003072.1,False
AC003086.1,False
AC003102.1,False
AC003665.1,False
AC004057.1,False
AC004076.2,False
AC004086.1,False
AC004130.1,False
AC004148.2,False
AC004151.1,False
AC004156.1,False
AC004160.1,False
AC004241.1,False
AC004453.1,False
AC004461.2,False
AC004466.1,False
AC004475.1,False
AC004551.1,False
AC004687.1,False
AC004706.3,False
AC004803.1,False
AC004812.2,False
AC004816.1,False
AC004846.1,False
AC004889.1,False
AC004890.2,False
AC004918.1,False
AC004918.4,False
AC004922.1,False
AC004943.2,False
AC004951.1,False
AC004951.2,False
AC004951.4,False
AC004967.2,False
AC004980.1,False
AC004982.1,False
AC004982.2,False
AC004990.1,False
AC004997.1,False
AC005034.5,False
AC005042.1,False
AC005070.3,False
AC005072.1,False
AC005077.4,False
AC005083.1,False
AC005154.2,False
AC005162.2,False
AC005162.3,False
AC005165.1,False
AC005224.3,False
AC005229.4,False
AC005261.1,False
AC005261.2,False
AC005262.2,False
AC005288.1,False
AC005324.3,False
AC005324.4,False
AC005332.3,False
AC005332.4,False
AC005332.5,False
AC005332.6,False
AC005336.1,False
AC005495.1,False
AC005519.1,False
AC005520.1,False
AC005520.2,False
AC005532.1,False
AC005534.1,False
AC005537.1,False
