gene,GSM5593747,GSM5593748,GSM5593749,GSM5593750,GSM5593751,GSM5593752,GSM5593753,GSM5593754,GSM5593755,GSM5593756,GSM5593757,GSM5593758,GSM5593759,GSM5593760,GSM5593761,GSM5593762,GSM5593763,GSM5593764,GSM5593765,GSM5593766,GSM5593767,GSM5593768,GSM5593769,GSM5593770,GSM5593771,GSM5593772,GSM5593773,GSM5593774,GSM5593775,GSM5593776
TSPAN6,1653.393470350925,726.3622373564236,3097.5248961668544,1107.2355938102937,495.0385143560112,948.4278554019775,791.6481194109729,1255.8038288472571,2506.977547787862,1306.7399326215896,1862.2244428188892,345.6391921335888,416.45586122296845,1021.9212768869771,6129.889783918153,585.4543585931382,3240.6047694588256,1242.6788831326419,1002.1100225223503,1328.7086150768562,1794.314147745823,1379.0256526935925,1279.5553638641743,1658.4590779358728,1975.1441655047606,977.4177695894138,3174.5140989848746,1077.0611478455228,1884.2569094842859,2257.166614512248
DPM1,845.0925492420777,948.6852647019809,831.1611265845537,1396.4053767675152,811.7028271829333,985.0697222324222,637.1378504908488,821.8761900464888,893.1222134401527,1362.364094782954,764.1280795548199,798.4940121958178,677.3300988192431,944.8792366979901,942.7821058353788,896.9661697162251,908.0397003279079,1246.6907600757659,785.4375852202205,965.4012980547388,510.55146825924646,1277.0598244511448,658.8137578498595,1457.8390281855654,929.5932912013599,857.6361801789465,674.631095415912,1238.0923488714466,1011.5743225737556,1472.2771438071252
SCYL3,597.5852327094375,293.75533577066415,599.2091842818876,367.080812562276,624.3097053518117,814.6424346489581,596.3401952141868,398.72489989143463,718.8991943912523,341.4467800366825,780.3401321620651,518.0839083824509,655.3286570942561,559.0323246771128,841.6407304967175,367.0830136098687,611.7079524859984,451.3361561014438,409.6463267743391,373.56195903483825,739.455742251512,549.620683940999,443.62333443156365,370.03253620612213,560.4616516598636,356.4700100855509,597.1734511274184,571.9687468133903,687.0838958915302,365.63174101170324
C1orf112,143.82181906626388,313.82059094625595,145.77535262771727,238.2279559077628,144.30272483252148,316.1426184673258,184.89150157295748,268.69029289981364,149.4650110787935,278.9765671477657,193.46382777979176,309.6507296120871,199.5845070766679,739.2215591687105,86.69260743313828,216.80595899772632,198.06235074266448,205.60869333510217,209.90142363643824,256.3660503180263,132.9121590922832,325.7932560917234,117.52707740537694,182.78715643916877,166.20586911292506,174.4019941816405,151.16733804689878,235.82711407075172,159.786952532914,359.1316211714952
FGR,82.50243884421339,107.54976774117212,165.91006984149038,47.19610447229263,84.17658948563754,187.47001634181046,312.49267871485773,387.2301280026726,46.76512616575748,53.056893138532125,97.27231564347072,150.70168680878817,51.07477543300556,92.95981708753811,39.73411174018838,248.11367870858933,54.84803559027631,51.151431024830295,125.26375281529378,44.680940198284574,252.11115891314032,68.39171406505643,206.91386867143828,120.3720298501843,99.53025882925164,130.3223692785885,93.69876325221,189.18966240750606,63.9147810131656,123.50227696395311
CFH,972.1909009750551,3329.227138734194,3121.686556823382,1477.3129844343025,970.0349835963943,3731.505461639945,3566.75671344264,2992.2328072933788,1293.8351572526237,1225.4430802319032,2181.0614774280434,7150.457647240859,2423.301652852141,6588.049502772307,1300.3891114970743,1395.5416061117185,1096.198933533439,646.9151570787361,3255.1648197812156,4069.627930191297,6808.056149060283,2535.467363248183,11166.72766446018,2508.493659100137,1752.8921312258492,9620.85726144874,2773.4833922654157,3608.682816433406,766.9773721579872,2120.664097867879
FUCA2,322.2054706213199,1214.3492432268165,454.23922034272124,1091.5035589861961,391.82198201052705,1273.9439746863939,394.0879892681817,922.455444073157,292.5112793505223,616.1445654797279,495.00800627455095,1015.1745469606924,367.73838311764007,772.3305351176967,1358.1841831191664,1257.7876393839213,805.961411868227,1327.9312681740257,506.1332715104438,843.8105427610465,973.634308271249,2153.717250194141,1365.6315332314925,922.852228851413,454.1672004829929,1335.8042851055322,449.75406361060794,772.5977841571643,378.5721644625962,1244.7729493998431
GCLC,3034.7518720803896,2567.5500522687285,2078.708205149935,1768.7302009378238,6756.173408478193,2751.548558035027,6000.727466543921,3061.919861868999,2617.013138766115,1769.7041130723296,1408.286969816026,2597.9171382709005,2846.829406058141,4169.18412526849,1105.330744772513,1717.2284261408358,2248.007680929242,2022.9889485702492,3008.0228209834736,1045.241010868067,1217.3065999404348,3114.931704235752,756.4771038627783,1624.2793657561906,3468.0980479435348,909.3818268042683,1346.7635571450983,1902.456047093154,2353.784723850233,1722.5317576551354
NFYA,750.3262343534542,614.7994185801332,644.3109508407393,1457.0860825176057,632.3265233980628,702.1604248438719,659.7067661758107,636.5229933402002,678.5528110325596,2115.4296748137326,982.4503879990542,1103.6461839927172,675.7585672674583,671.7301851188541,307.03631799236473,792.085308684834,617.8021786626957,965.8593740570897,644.0926749489092,1157.3095985785185,492.6188753658432,601.8470837724966,496.59328481145184,662.7892013973111,487.9881622210881,1031.079921645303,748.3407891743171,618.6061984766361,612.1069412414705,971.7679161111047
STPG1,215.17527968828628,530.5253468426475,210.2064477117912,242.7228230003621,280.58863161879174,470.37931373036076,206.59238203926705,287.369297219052,222.82207173096214,316.6298461493046,310.1906065519566,294.65553689479475,190.94108354185158,206.9310996811636,83.08041545675752,305.2502671809143,139.4054237919523,249.73933970946555,176.04635530798046,314.23153024695216,171.94192009557267,404.1328558389698,134.080186899092,188.73145420954822,225.15097385646243,137.98839100085843,208.63591284158758,176.8703355530638,292.53303617564256,263.25485352842634
NIPAL3,2077.054642794183,1390.1208785650008,1425.5379787351358,1102.7407267176945,1357.848556583796,1170.835465698398,1308.1290745091405,2145.9302269832706,2137.441354752563,514.309560907384,3324.551587992399,1650.2209585380235,1040.3538872815288,1487.3570734006098,2080.6225783953187,1303.1838329646725,1707.9068860194375,1387.106453085104,1636.0461769727222,932.4399487281355,2231.0255276204675,767.2306832389058,893.8679126606133,1056.598928684951,1869.8160275204068,984.1255385963999,1589.1310247574816,881.7118220107957,1848.612127765405,1017.2687549925611
LAS1L,728.0282779090722,809.8336988868856,782.8378052714983,1275.7931097827675,766.6082256727703,838.5022549106432,666.6510479250298,733.5101311516303,674.8849579999511,1020.9173147462714,649.5629077969544,700.2754998975529,816.4106411521967,955.0666139130627,563.5019483153989,895.400783730682,692.4564493272385,1007.9840819598911,809.9825097583524,1012.2796615414637,552.745804479019,986.0841682470864,312.8537694312147,729.6625513140801,723.7685811952376,459.9613033361947,644.6474911752048,1296.16917547096,629.3147668988613,1189.5219307580746
ENPP4,123.75365826632009,60.19576552677544,170.74240197279593,38.95551480252725,40.08409023125596,117.59482843259019,185.75953679160986,384.35643503048203,282.4246835108491,44.49932972909146,164.28213308675055,63.72956904849251,97.43495621065678,489.63081739943016,3092.036331781932,64.18082540726917,648.2733095461825,51.151431024830295,290.3072109165255,72.51496851852743,1290.0918299195423,67.14822835478267,1812.5654895617993,225.88331527441994,223.21834747142842,425.4642055859801,247.3647349858344,303.5834117701841,179.45303899850342,178.7532956057216
SEMA3F,4554.357603765023,1586.7603792858006,2127.0315264629908,1444.350625755241,3632.620677207572,1203.2166503392561,2988.6452578201533,1658.1208449539301,4163.013192010568,1353.8065313735133,3378.5917633498825,1735.69355702659,2131.782549996063,1561.8522692858287,700.7652434178679,2189.9749937748675,1682.0064247684736,2209.5412264255124,3085.043101430715,1445.172049364188,583.336698238354,1877.6634225133675,278.09223949441304,1771.4007355730826,3037.1223640809503,910.3400795195521,2892.168492384882,1801.2615765030926,4093.004245650797,1183.0218109178666
CFTR,266.4605795103649,0.8026102070236726,1039.756796919243,0.7491445154332164,144.30272483252148,0.0,256.0703895024528,334.06680801714793,269.5871978967196,1.711512681888133,17.292856114394795,0.0,689.116585457629,24.19502088579759,4338.242563633295,0.0,371.74779677853945,21.06235395140071,33.00869162024634,0.732474429480075,1308.0244228129457,2.4869714205475066,297.9559708868711,141.17707204651245,59.91141793605438,0.0,107.44124852920079,15.839134527140041,275.3252105182518,0.0
ANKIB1,2506.2903043485367,3818.819365018634,2269.585324336504,2300.6228068954074,3085.472845550928,3071.0997222540223,2431.3666474453235,2409.591557181751,2652.774705834047,4326.704059813201,2098.920410884668,3029.77868852892,3011.0544532196514,2342.460048390772,2940.3242687739403,2254.938512174908,2193.159645338965,2233.6124880842563,1797.704128241108,2229.652163337348,2215.202651538053,2638.6766772009046,1989.6837611445505,2582.7973812298806,2297.8927718054406,3144.0271588459477,2011.400117814108,1992.2111427469474,2717.6073234636374,2861.6777596515976
CYP51A1,4595.60882318713,3480.117857654644,2974.3004268185628,1704.3037726105672,3879.137832129796,2403.024754926843,2195.2610679718755,3500.876463371101,5316.552970765919,3416.1793130487135,4769.585877051514,2214.040204708216,2674.746701137707,4031.017821789067,1910.849555505423,777.2141418221742,3465.329359724541,4337.841944752765,5438.816726966742,3183.333870520406,3493.6910389971576,9517.639626435308,1665.2428150677351,2371.774810381409,4765.856665493874,1553.327651474941,2678.535312169843,2968.9577719205836,5201.6798701484,2752.8007523281126
