library,direction,Term,overlap,set_size,query_size,background_size,fold_enrichment,pvalue,padj,genes
MSigDB_Hallmark_2020,up,TNF-alpha Signaling via NF-kB,61,195,1904,17850,2.9326923076923075,2.990150001995565e-15,2.990150001995565e-14,ABCA1;ACKR3;AREG;BCL2A1;BMP2;CCL20;CCL5;CCRL2;CD80;CDKN1A;CEBPB;CLCF1;CXCL1;CXCL10;CXCL11;CXCL3;CXCL6;DDX58;DRAM1;EFNA1;F2RL1;FJX1;FOSL1;GEM;GFPT2;ICAM1;IFIH1;IFIT2;IL1B;IL6;INHBA;JAG1;KLF10;KYNU;LAMB3;MSC;NFIL3;OLR1;PANX1;PFKFB3;PHLDA2;PLAU;PLAUR;PMEPA1;PTGS2;RELB;SERPINE1;SLC2A3;SLC2A6;SOCS3;SPHK1;TAP1;TGIF1;TLR2;TNC;TNFAIP3;TNFAIP6;TNFRSF9;TNFSF9;TRIB1;VEGFA
MSigDB_Hallmark_2020,up,Hypoxia,44,182,1904,17850,2.2664835164835164,1.400683845565807e-07,5.002442305592167e-07,ACKR3;ADM;ANGPTL4;B4GALNT2;BGN;CAV1;CAVIN3;CDKN1A;CHST2;CHST3;COL5A1;CSRP2;EFNA1;EGFR;ENO2;ETS1;EXT1;IGFBP3;IL6;KDELR3;KLF7;LOX;NDRG1;NFIL3;NOCT;P4HA1;P4HA2;PDGFB;PFKFB3;PGF;PLAUR;SDC2;SDC3;SERPINE1;SLC2A1;SLC2A3;STC1;STC2;TES;TGFB3;TGFBI;TNFAIP3;TPBG;VEGFA
MSigDB_Hallmark_2020,up,Cholesterol Homeostasis,17,71,1904,17850,2.244718309859155,0.001047320927248174,0.0027561077032846686,ANTXR2;ANXA5;AVPR1A;CBS;FABP5;FADS2;GLDC;GNAI1;GPX8;JAG1;NFIL3;PLAUR;PLSCR1;SQLE;STARD4;TNFRSF12A;TRIB3
MSigDB_Hallmark_2020,up,Mitotic Spindle,31,195,1904,17850,1.4903846153846156,0.015314998268739537,0.029451919747576032,ANLN;ARAP3;AURKA;BCAR1;BIRC5;BUB1;CCNB2;CDC42EP2;CDK1;CENPE;CENPF;CEP72;DLGAP5;ECT2;FGD6;FLNA;FSCN1;KIF2C;KIF3C;KIF4A;MYH10;NDC80;NEK2;PIF1;PLEKHG2;PLK1;PXN;TOP2A;TPX2;TRIO;TTK
MSigDB_Hallmark_2020,up,Wnt-beta Catenin Signaling,6,40,1904,17850,1.4062500000000002,0.2504248947598154,0.37943165872699297,DKK1;GNAI1;HEY1;JAG1;JAG2;NKD1
MSigDB_Hallmark_2020,up,TGF-beta Signaling,13,51,1904,17850,2.389705882352941,0.0021689762770412046,0.0049294915387300105,ACVR1;BMP2;ENG;KLF10;LTBP2;PMEPA1;RAB31;SERPINE1;SKIL;SLC20A1;TGFB1;TGIF1;THBS1
MSigDB_Hallmark_2020,up,IL-6/JAK/STAT3 Signaling,25,79,1904,17850,2.9667721518987342,3.470867599211442e-07,1.1569558664038142e-06,BAK1;CCR1;CXCL1;CXCL10;CXCL11;CXCL13;CXCL3;CXCL9;IL12RB1;IL1B;IL2RA;IL6;IRF9;ITGA4;ITGB3;LTB;OSMR;SOCS1;SOCS3;STAT1;STAT2;TGFB1;TLR2;TNFRSF12A;TNFRSF21
MSigDB_Hallmark_2020,up,DNA Repair,9,149,1904,17850,0.5662751677852348,0.9821990151922931,0.9999999998247832,ADA;BCAM;CMPK2;FEN1;GSDME;HPRT1;PNP;RAD51;RFC4
MSigDB_Hallmark_2020,up,G2-M Checkpoint,49,191,1904,17850,2.4051047120418847,3.482423196387493e-09,1.4510096651614555e-08,AURKA;AURKB;BIRC5;BUB1;CCNA2;CCNB2;CDC20;CDC25B;CDC45;CDC6;CDK1;CDKN3;CENPA;CENPE;CENPF;CHEK1;CKS1B;CKS2;DDX39A;E2F1;E2F3;EXO1;HIF1A;HMGB3;HMMR;KIF2C;KIF4A;KNL1;KPNA2;MCM2;MCM5;MYBL2;NDC80;NEK2;ODC1;ORC6;PLK1;PRIM2;RAD54L;SLC7A5;SQLE;STIL;TGFB1;TOP2A;TPX2;TROAP;TTK;UBE2C;UBE2S
MSigDB_Hallmark_2020,up,Apoptosis,30,153,1904,17850,1.838235294117647,0.0007129609414510145,0.0019804470595861513,APP;AVPR1A;BCL2L10;BGN;BID;BMF;BMP2;CAV1;CDC25B;CDKN1A;ENO2;F2R;FEZ1;IFITM3;IGFBP6;IL1B;IL6;LUM;MMP2;PDGFRB;PLAT;PLPPR4;PTK2;SLC20A1;TAP1;TIMP1;TIMP3;TNFRSF12A;TNFSF10;TOP2A
