sample_accession,PC1,PC2
GSM5593747,87.17543846637591,-35.35175167073361
GSM5593748,-59.20176848438894,-43.601390131638105
GSM5593749,70.56417963420785,-13.933849485362307
GSM5593750,-83.72565808960715,-33.50547522691625
GSM5593751,20.83836479886179,-40.4777620883286
GSM5593752,-67.96292551236115,-44.853432658359274
GSM5593753,1.8159099343666099,-14.240810769238315
GSM5593754,-30.881704388732075,-18.066393693915302
GSM5593755,104.33811619162115,-29.513284729598908
GSM5593756,-62.75278176732254,-34.56945340955931
GSM5593757,83.09792520679375,-9.093774238270672
GSM5593758,-35.331111341734584,-37.38830266600767
GSM5593759,22.47044516899806,-22.63320717021591
GSM5593760,-34.51951791601313,-12.408137918134463
GSM5593761,-28.915184465090867,156.53546982482936
GSM5593762,-77.59826039455828,-18.88145343403711
GSM5593763,67.91659312733228,47.59548480641796
GSM5593764,-26.11938949063329,-40.91561582186943
GSM5593765,75.02281720291255,-0.13287523513236446
GSM5593766,-104.80381693250298,-0.4555261862829111
GSM5593767,-25.499294918353552,119.76123302495228
GSM5593768,-59.120067159661836,-18.557749500068027
GSM5593769,9.755567355838208,153.33182662880628
GSM5593770,-2.7385648673346035,-3.1665721514899086
GSM5593771,85.7540563698895,-23.79227568914667
GSM5593772,-49.47861600582504,51.55910553306184
GSM5593773,57.84892040644905,35.55812531710884
GSM5593774,13.492256551037594,-8.366011350198352
GSM5593775,106.28149547744725,-32.31934325340423
GSM5593776,-57.723424158011646,-28.116796657268836
