gene,_genewise_converged,_MAP_converged,_LFC_converged,dispersions,model_converged
A2M,True,True,True,0.10489367617670092,True
A2ML1,True,True,True,0.1200244561747031,True
A4GALT,True,True,True,0.24091259988536926,True
AAAS,True,True,True,0.15441247629482382,True
AACS,True,True,True,0.11078038354050022,True
AADACL1,True,True,True,0.14449119778218383,True
AAK1,True,True,True,0.1105041390360815,True
AARS,True,True,True,0.13547626910400465,True
AARS2,True,True,True,0.12654557131532485,True
AARSD1,True,True,True,0.1886200391671288,True
AASDH,True,True,True,0.19701928465988175,True
AASDHPPT,True,True,True,0.14706559903325203,True
AASS,True,True,True,0.32633209168569505,True
AATF,True,True,True,0.14098024588007194,True
ABAT,True,True,True,0.19999935388805754,True
ABBA-1,True,True,True,0.14382208779134306,True
ABCA1,True,True,True,0.1284891215264066,True
ABCA10,True,True,True,0.28689752840655286,True
ABCA11P,True,True,True,0.19441660559203336,True
ABCA12,True,True,True,0.11195473520281529,True
ABCA2,True,True,True,0.22382741506961518,True
ABCA3,True,True,True,0.31885573056852046,True
ABCA5,True,True,True,0.14674988582391674,True
ABCA6,True,True,True,0.14026230565552522,True
ABCA7,True,True,True,0.12584379215480668,True
ABCA8,True,True,True,0.12486816427787041,True
ABCA9,True,True,True,0.19710067741277817,True
ABCB10,True,True,True,0.14036027198399995,True
ABCB6,True,True,True,0.15138485404995722,True
ABCB7,True,True,True,0.16814212731034697,True
ABCB8,True,True,True,0.13166692173424707,True
ABCB9,True,True,True,0.20933125316034268,True
ABCC1,True,True,True,0.13507151594245695,True
ABCC10,True,True,True,0.11659957548177453,True
ABCC3,True,True,True,0.11361296988383159,True
ABCC4,True,True,True,0.1919468827003734,True
ABCC5,True,True,True,0.11113393473415653,True
ABCC9,True,True,True,0.13649026340596662,True
ABCD1,True,True,True,0.1826866041404136,True
ABCD3,True,True,True,0.1424552192540946,True
ABCD4,True,True,True,0.13280411558548272,True
ABCE1,True,True,True,0.12206246584033038,True
ABCF1,True,True,True,0.1052809063443077,True
ABCF2,True,True,True,0.17330711978876254,True
ABCG1,True,True,True,0.13179463407420147,True
ABHD10,True,True,True,0.18474168076744843,True
ABHD11,True,True,True,0.23030481394655034,True
ABHD12,True,True,True,0.17114046083125398,True
ABHD13,True,True,True,0.14121868742349472,True
ABHD14B,True,True,True,0.1569684520340902,True
ABHD2,True,True,True,0.10746245435389913,True
ABHD3,True,True,True,0.17739007748670474,True
ABHD4,True,True,True,0.15850986249168847,True
ABHD5,True,True,True,0.11758236712373457,True
ABHD6,True,True,True,0.1889169648727456,True
ABHD9,True,True,True,0.30888093443150155,True
ABI1,True,True,True,0.126308093174921,True
ABI2,True,True,True,0.14159315838302985,True
ABI3,True,True,True,0.21441781460411424,True
ABI3BP,True,True,True,0.20302076971088945,True
ABL1,True,True,True,0.11522917408812046,True
ABL2,True,True,True,0.1206404143455102,True
ABLIM1,True,True,True,0.11618060903717901,True
ABLIM2,True,True,True,0.16115760679440094,True
ABLIM3,True,True,True,0.13279451027763217,True
ABO,True,True,True,0.22809522046473074,True
ABR,True,True,True,0.10736339930442379,True
ABT1,True,True,True,0.1618739896802002,True
ABTB1,True,True,True,0.20457777662280988,True
ABTB2,True,True,True,0.15814719293608595,True
ACAA1,True,True,True,0.12307464909388753,True
ACACA,True,True,True,0.162375269908043,True
ACACB,True,True,True,0.23416790869967022,True
ACAD10,True,True,True,0.1362975607774837,True
ACAD11,True,True,True,0.15053308873455282,True
ACAD8,True,True,True,0.1757380701656065,True
ACAD9,True,True,True,0.12229901363560124,True
ACADM,True,True,True,0.12898476615950946,True
ACADS,True,True,True,0.1760504997026974,True
ACADSB,True,True,True,0.1956283862832807,True
ACADVL,True,True,True,0.12335730255221057,True
ACAP1,True,True,True,0.1954963153223011,True
ACAP2,True,True,True,0.1040296462639731,True
ACAP3,True,True,True,0.10745309086664735,True
ACAT1,True,True,True,0.1375750392493138,True
ACAT2,True,True,True,0.1444905090915553,True
ACBD3,True,True,True,0.10977785530872272,True
ACBD4,True,True,True,0.2928819279756975,True
ACBD5,True,True,True,0.12536634501787994,True
ACCS,True,True,True,0.1767764904172233,True
ACD,True,True,True,0.20712516405775916,True
ACE,True,True,True,0.25907503489270656,True
ACHE,True,True,True,0.21301987215120938,True
ACIN1,True,True,True,0.10529672082751759,True
ACO1,True,True,True,0.20506146868928768,True
ACO2,True,True,True,0.133891864617395,True
ACOT11,True,True,True,0.1433433727400511,True
ACOT7,True,True,True,0.13102644947593908,True
ACOT8,True,True,True,0.16719127904999553,True
ACOT9,True,True,True,0.13566530062020696,True
ACOX1,True,True,True,0.10765049196475318,True
ACOX3,True,True,True,0.12384441741949202,True
ACP1,True,True,True,0.1440746576807875,True
ACP2,True,True,True,0.1529636818541174,True
ACP5,True,True,True,0.14534153627662252,True
ACP6,True,True,True,0.2069954719501076,True
ACPP,True,True,True,0.16948603679535673,True
ACSF2,True,True,True,0.22283370414807818,True
ACSF3,True,True,True,0.15779034448293539,True
ACSL1,True,True,True,0.13121441918747243,True
ACSL3,True,True,True,0.13060251106311643,True
ACSL4,True,True,True,0.17100102951477553,True
ACSL5,True,True,True,0.2089858387301006,True
ACSS1,True,True,True,0.21772139942975727,True
ACSS2,True,True,True,0.15332766065510078,True
ACTA1,True,True,True,0.30506045071555765,True
ACTA2,True,True,True,0.2028505672395143,True
ACTC1,True,True,True,0.2616883142287536,True
ACTG1,True,True,True,0.10391067915176226,True
ACTN1,True,True,True,0.13726847477778428,True
ACTN2,True,True,True,0.2699174179294915,True
ACTN4,True,True,True,0.10144469935882905,True
ACTR10,True,True,True,0.12699229523079633,True
ACTR1A,True,True,True,0.1351449544552352,True
ACTR1B,True,True,True,0.1359538070208777,True
ACTR2,True,True,True,0.1116865341718424,True
ACTR3,True,True,True,0.11342467582174458,True
ACTR5,True,True,True,0.1564983830898281,True
ACTR6,True,True,True,0.1672584163075932,True
ACTR8,True,True,True,0.2065193114439504,True
ACVR1,True,True,True,0.12541604617035326,True
ACVR1B,True,True,True,0.15760972410801088,True
ACVR2A,True,True,True,0.13773014316282545,True
ACVR2B,True,True,True,0.14443420199109017,True
ACVRL1,True,True,True,0.16589390253643616,True
ACY1,True,True,True,0.20943633333379305,True
ADAM10,True,True,True,0.1352334969035025,True
ADAM12,True,True,True,0.28080235845208995,True
ADAM15,True,True,True,0.11873390267396461,True
ADAM17,True,True,True,0.11635132735079529,True
ADAM19,True,True,True,0.11807374522208516,True
ADAM23,True,True,True,0.27323966577712305,True
ADAM8,True,True,True,0.23613604568509722,True
ADAM9,True,True,True,0.12469008856417592,True
ADAMTS1,True,True,True,0.10285971940300445,True
ADAMTS10,True,True,True,0.17262331535112588,True
ADAMTS12,True,True,True,0.21104041630347062,True
ADAMTS14,True,True,True,0.21236289073705023,True
ADAMTS15,True,True,True,0.30911987658948803,True
ADAMTS17,True,True,True,0.23107355483578942,True
ADAMTS2,True,True,True,0.21996671337089863,True
ADAMTS4,True,True,True,0.29632048213290446,True
ADAMTS5,True,True,True,0.17565136490262748,True
ADAMTS9,True,True,True,0.13177936777994748,True
ADAMTSL1,True,True,True,0.24909921446709993,True
ADAMTSL4,True,True,True,0.19726908092989956,True
ADAMTSL5,True,True,True,0.16558143031897982,True
ADAP1,True,True,True,0.3007255398688383,True
ADAP2,True,True,True,0.17711622859990808,True
ADAR,True,True,True,0.11197456189751231,True
ADARB1,True,True,True,0.12480240580252319,True
ADAT1,True,True,True,0.13811821007455266,True
ADAT2,True,True,True,0.140464922189701,True
ADCK2,True,True,True,0.11780826551290483,True
ADCK4,True,True,True,0.16495417783493793,True
ADCK5,True,True,True,0.15723570670072334,True
ADCY1,True,True,True,0.20012970177617628,True
ADCY3,True,True,True,0.14807619105709122,True
ADCY4,True,True,True,0.1336203381953807,True
ADCY6,True,True,True,0.11263845795675628,True
ADCY7,True,True,True,0.10913007648883064,True
ADCY9,True,True,True,0.11638010005880814,True
ADD1,True,True,True,0.11461912921006259,True
ADD3,True,True,True,0.10609536154018856,True
ADFP,True,True,True,0.3360513606021271,True
ADH5,True,True,True,0.13315925996776273,True
ADH7,True,True,True,0.16525808776279538,True
ADI1,True,True,True,0.14219849353794484,True
ADIPOR1,True,True,True,0.1091509698436367,True
ADIPOR2,True,True,True,0.12993232499352095,True
ADK,True,True,True,0.15710803736991927,True
ADM,True,True,True,0.12895732193934248,True
ADNP,True,True,True,0.1104208692591336,True
ADNP2,True,True,True,0.1137582026307777,True
ADO,True,True,True,0.11817205714379475,True
ADORA2B,True,True,True,0.12946772010613852,True
ADPGK,True,True,True,0.15015135826203585,True
ADPRH,True,True,True,0.17602666306505085,True
