gene,GSM515513,GSM515514,GSM515515,GSM515516,GSM515517,GSM515518
A2M,2242,261,2285,597,15121,1991
A2ML1,11731,912,13308,3071,6944,1160
A4GALT,162,296,111,362,751,182
AAAS,199,81,215,344,512,342
AACS,470,710,573,1112,690,728
AADACL1,97,154,153,369,245,242
AAK1,1342,859,1043,1691,3489,2453
AARS,1158,1636,664,3564,2593,3040
AARS2,319,241,345,463,746,367
AARSD1,99,153,136,117,414,173
AASDH,116,36,193,188,232,275
AASDHPPT,247,212,366,269,510,628
AASS,301,8,371,474,578,215
AATF,162,344,212,1239,372,512
ABAT,92,27,140,86,130,68
ABBA-1,813,1769,765,1097,2271,1327
ABCA1,3107,1087,2529,3569,7749,5517
ABCA10,276,1,517,50,747,113
ABCA11P,62,40,124,73,194,110
ABCA12,291,1548,138,803,574,1873
ABCA2,348,421,368,1738,1069,298
ABCA3,153,19,106,361,479,96
ABCA5,791,143,1841,503,1257,630
ABCA6,384,19,366,52,1633,171
ABCA7,875,290,552,487,1307,355
ABCA8,482,25,418,29,1760,110
ABCA9,250,7,244,43,918,126
ABCB10,151,119,189,187,396,354
ABCB6,160,247,184,176,381,377
ABCB7,131,55,179,212,281,277
ABCB8,296,227,247,360,676,339
ABCB9,50,111,70,79,132,166
ABCC1,1606,4263,1769,4619,3373,2628
ABCC10,391,376,547,928,1225,802
ABCC3,462,591,712,1034,434,369
ABCC4,139,254,240,602,638,232
ABCC5,1166,1068,1507,3052,3301,2355
ABCC9,372,17,317,24,2320,204
ABCD1,57,88,83,107,317,201
ABCD3,360,365,516,289,758,524
ABCD4,183,226,360,416,738,439
ABCE1,386,399,372,524,518,745
ABCF1,861,861,807,1358,1995,1698
ABCF2,276,180,141,375,622,271
ABCG1,198,269,279,556,521,378
ABHD10,113,238,189,149,261,335
ABHD11,31,84,60,95,77,99
ABHD12,188,343,208,549,395,196
ABHD13,222,245,315,234,567,477
ABHD14B,280,201,269,421,606,192
ABHD2,1015,1252,935,1414,4310,3187
ABHD3,90,159,192,177,343,205
ABHD4,211,116,190,465,547,381
ABHD5,388,276,408,350,919,497
ABHD6,88,94,73,243,117,101
ABHD9,68,8,63,33,95,40
ABI1,624,440,897,1131,1103,1634
ABI2,426,678,539,776,1502,721
ABI3,68,22,69,91,275,122
ABI3BP,348,2,322,31,2763,104
ABL1,1261,565,691,787,4545,1783
ABL2,821,868,459,1342,3520,3025
ABLIM1,5976,2652,4391,6031,7993,6257
ABLIM2,489,62,197,143,2454,409
ABLIM3,350,27,482,90,1676,243
ABO,142,39,94,29,169,14
ABR,1755,990,1279,1657,3535,2116
ABT1,119,143,112,100,310,234
ABTB1,96,190,149,275,1032,318
ABTB2,96,54,130,119,427,358
ACAA1,432,192,347,200,779,247
ACACA,1605,973,1598,7385,2825,3651
ACACB,628,14,447,172,2228,338
ACAD10,230,312,320,554,776,445
ACAD11,243,167,499,230,725,591
ACAD8,123,112,191,88,474,182
ACAD9,216,406,264,509,558,668
ACADM,427,181,653,366,859,592
ACADS,95,55,113,166,430,161
ACADSB,183,128,258,65,262,114
ACADVL,3783,2401,2823,5093,7774,3472
ACAP1,94,46,131,125,500,92
ACAP2,813,900,1187,2342,1906,1955
ACAP3,667,951,811,1483,1431,1391
ACAT1,236,103,288,157,537,299
ACAT2,167,119,159,267,291,241
ACBD3,567,563,621,857,1490,1764
ACBD4,59,65,52,20,156,37
ACBD5,248,190,306,317,606,557
ACCS,102,61,143,105,334,91
ACD,38,136,56,140,126,139
ACE,68,53,83,132,632,84
ACHE,153,34,170,12,559,94
ACIN1,1344,1111,1482,2210,3393,2206
ACO1,166,67,155,409,995,293
ACO2,289,283,325,615,595,332
ACOT11,199,295,169,203,588,380
ACOT7,117,544,160,892,231,497
ACOT8,117,180,156,140,237,244
ACOT9,90,72,172,270,561,554
ACOX1,1281,792,1590,2080,2619,2262
ACOX3,394,200,516,294,760,437
ACP1,112,118,151,223,270,316
ACP2,86,62,114,204,385,386
ACP5,146,601,176,1161,596,885
ACP6,67,66,60,61,136,91
ACPP,282,193,459,187,346,62
ACSF2,132,20,243,84,194,134
ACSF3,155,299,150,339,544,339
ACSL1,1104,702,1328,1538,5089,1369
ACSL3,807,468,856,666,1065,1212
ACSL4,860,269,657,1314,3921,1114
ACSL5,63,11,113,44,263,73
ACSS1,245,664,293,1069,752,256
ACSS2,333,374,334,633,1081,411
ACTA1,3334,8,3198,32,13643,1063
ACTA2,135,120,290,62,1408,309
ACTC1,704,34,1587,22,6425,1120
ACTG1,3531,4263,3238,4136,5063,5799
ACTN1,2037,2143,1423,7441,4695,7047
ACTN2,1460,10,1495,24,6789,785
ACTN4,3171,3294,2353,3221,4127,3086
ACTR10,229,240,297,333,555,608
ACTR1A,749,347,593,1206,2897,2033
ACTR1B,244,247,322,569,784,402
ACTR2,565,715,759,955,1799,2144
ACTR3,1481,1962,1972,2083,3497,3860
ACTR5,105,239,120,294,317,276
ACTR6,136,65,183,251,240,273
ACTR8,198,25,233,214,478,258
ACVR1,171,305,237,553,917,876
ACVR1B,574,247,356,912,1080,961
ACVR2A,234,154,437,228,621,217
ACVR2B,202,241,164,300,758,402
ACVRL1,174,75,142,102,1613,232
ACY1,58,62,77,244,310,151
ADAM10,650,438,820,1189,1875,3431
ADAM12,28,309,59,291,2452,1186
ADAM15,1545,2750,998,1970,3954,2951
ADAM17,426,674,513,821,1024,1755
ADAM19,439,320,275,277,2571,1062
ADAM23,93,48,75,629,287,185
ADAM8,84,295,98,422,1046,409
ADAM9,587,984,792,1021,2208,1549
ADAMTS1,2996,545,1094,316,3530,582
ADAMTS10,130,83,145,136,795,174
ADAMTS12,55,242,96,172,1080,625
ADAMTS14,68,349,173,749,2014,1154
ADAMTS15,61,13,30,111,234,222
ADAMTS17,110,12,135,86,788,53
ADAMTS2,131,462,220,511,3388,1112
ADAMTS4,512,165,84,315,2394,229
ADAMTS5,129,35,93,27,1289,102
ADAMTS9,782,93,251,83,4211,347
ADAMTSL1,55,2,88,19,367,33
ADAMTSL4,550,138,569,862,2544,342
ADAMTSL5,111,150,67,142,117,117
ADAP1,45,202,22,233,168,91
ADAP2,113,123,129,91,636,208
ADAR,2701,2252,1849,4167,5841,7967
ADARB1,155,125,259,292,748,568
ADAT1,122,210,207,496,527,445
ADAT2,177,98,300,484,425,266
ADCK2,285,418,210,529,559,705
ADCK4,190,195,167,231,503,174
ADCK5,119,315,249,317,359,526
ADCY1,100,13,78,27,397,53
ADCY3,839,1160,529,1608,2204,1146
ADCY4,230,48,172,43,1247,191
ADCY6,790,229,610,214,2578,822
ADCY7,512,548,694,807,2009,1818
ADCY9,586,440,575,508,1827,764
ADD1,1011,443,879,695,2490,1804
ADD3,650,667,726,1335,1978,1858
ADFP,156,36,90,426,1085,121
ADH5,261,467,380,478,518,790
ADH7,1072,628,2116,385,404,91
ADI1,277,120,480,736,499,457
ADIPOR1,441,447,574,855,1271,1397
ADIPOR2,848,1302,1288,1134,1713,1937
ADK,211,242,448,426,268,523
ADM,233,219,220,298,328,341
ADNP,869,877,945,1215,1760,2254
ADNP2,457,409,546,1034,760,703
ADO,232,284,243,457,699,999
ADORA2B,142,312,126,496,135,310
ADPGK,210,76,347,569,920,584
ADPRH,88,18,118,46,437,109
ADPRHL1,149,0,169,7,163,58
ADPRHL2,204,217,173,373,441,547
ADRA2A,150,13,236,144,407,37
ADRB2,215,51,298,53,267,85
ADRBK1,1120,2210,858,1266,2919,1873
ADRBK2,343,125,350,1407,835,568
ADRM1,620,675,414,1324,1480,1186
ADSL,276,219,256,443,813,467
ADSS,294,433,539,577,633,658
ADSSL1,82,7,89,59,69,38
AEBP1,887,1081,818,1549,6834,2751
AEBP2,357,643,469,576,780,1407
AEN,424,462,213,824,932,824
AES,1585,863,1476,1121,2611,846
AFAP1,281,316,369,429,968,871
AFAP1L1,173,391,151,94,2000,405
AFAP1L2,328,564,476,1795,621,1833
AFF1,1793,922,1613,1586,3558,2678
AFF4,2313,2302,2242,2048,5065,4063
AFG3L1,43,99,111,277,161,170
AFG3L2,342,472,396,419,1027,413
AFMID,110,101,147,243,296,273
AFTPH,482,651,735,1027,1030,1339
AGA,74,77,159,263,125,197
AGAP1,283,421,276,553,522,418
AGAP2,54,68,77,58,362,110
AGAP3,682,678,542,1051,1444,690
AGBL1,122,1,90,0,622,83
AGBL5,106,124,103,255,173,172
AGER,69,36,78,78,284,96
AGFG1,1344,1723,1254,1910,2815,2766
AGFG2,430,449,279,454,617,305
AGGF1,224,324,319,248,609,456
AGK,107,157,205,344,314,166
AGL,1289,464,2252,796,2300,1206
AGPAT1,217,276,163,471,996,684
AGPAT2,139,244,230,457,449,388
AGPAT3,992,1110,640,768,2387,1830
AGPAT4,152,96,245,165,982,505
AGPAT5,270,310,319,715,678,349
AGPAT6,344,290,357,591,1283,1228
AGPAT9,104,138,106,112,309,72
AGPS,595,398,744,613,1684,1277
AGRN,1253,4948,1341,6518,2607,5791
AGTPBP1,314,193,519,435,936,428
AGTRAP,113,202,64,336,446,427
AGXT2L2,165,163,183,172,817,178
AHCTF1,138,144,146,173,281,259
AHCY,734,739,712,1601,1365,1147
AHCYL1,980,1086,1233,1231,2710,1897
AHCYL2,467,152,557,650,726,781
AHDC1,1639,1550,1216,1448,2198,1376
AHI1,315,184,427,212,692,356
AHNAK,1351,1661,1311,1423,2826,2512
AHNAK2,4860,6225,3980,15123,7597,22890
AHR,1341,1160,1402,3433,3082,6573
