gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pvalue_model,model_converged,test_status,refseq,exons,direction
A2M,2809.397129904679,-2.6168478210150194,0.3835375030082726,-6.822925530071505,8.920490516534268e-12,7.209128720516079e-10,8.920490516534268e-12,True,tested,NM_000014,36,down
A2ML1,6895.406940322641,-2.7532805993504765,0.408797526371128,-6.73507157391873,1.6384925919218975e-11,1.2473915341109751e-09,1.6384925919218975e-11,True,tested,NM_144670,36,down
A4GALT,286.61923659386395,0.2789365784407054,0.5826913702622811,0.4787038090424275,0.632149355651229,0.8567932474833015,0.632149355651229,True,tested,NM_017436,3,not_significant
AAAS,252.23636305214885,-0.3545949369952451,0.4696681747216557,-0.7549903444179338,0.45025477571633976,0.7560135326315911,0.45025477571633976,True,tested,NM_015665,16,not_significant
AACS,733.7227500336816,0.5796907565342625,0.3946997534787557,1.4686879113175422,0.14191745781857673,0.4251453697867029,0.14191745781857673,True,tested,NM_023928,18,not_significant
AADACL1,202.29092894358578,0.6751958081254912,0.4563531834912418,1.4795466155402623,0.1389942822523433,0.41949839969638575,0.1389942822523433,True,tested,NM_020792,5,not_significant
AAK1,1626.475913813402,-0.11513489297013041,0.39277032203264584,-0.29313541912813046,0.7694186447249274,0.92537323988372,0.7694186447249274,True,tested,NM_014911,22,not_significant
AARS,1985.0839435033315,1.078632414072969,0.43453688746488106,2.4822574220701648,0.013055292364623225,0.08866121627843025,0.013055292364623225,True,tested,NM_001605,21,not_significant
AARS2,392.00358587238117,-0.29791178377130934,0.4234634692515861,-0.7035123579793736,0.4817365080695334,0.7755322944803122,0.4817365080695334,True,tested,NM_020745,22,not_significant
AARSD1,168.38651057586895,-0.26052815139185526,0.5202038708129021,-0.5008193249018662,0.6164982838913086,0.849911218725706,0.6164982838913086,True,tested,NM_001136042,17,not_significant
AASDH,158.24297323336208,-0.434210984199633,0.5331685751773712,-0.8143971802073714,0.41541745350478176,0.7330759348303113,0.41541745350478176,True,tested,NM_181806,15,not_significant
AASDHPPT,350.1791864167413,-0.08147987261433326,0.45642238841694643,-0.17851857113525416,0.8583157377884825,0.9595268580408776,0.8583157377884825,True,tested,NM_015423,6,not_significant
AASS,299.1385994163724,-1.7823663254080777,0.6797707169380739,-2.6220110413647735,0.008741259899077501,0.06422075279699876,0.008741259899077501,True,tested,NM_005763,24,not_significant
AATF,456.83817787414654,1.3993586531093516,0.44709637245279216,3.1298814737243403,0.001748768479991781,0.017837438495916166,0.001748768479991781,True,tested,NM_012138,12,up
ABAT,90.07447125089186,-1.0897051629321195,0.5451055715459555,-1.9990717758426935,0.045600588415575315,0.21473768798477555,0.045600588415575315,True,tested,NM_000663,16,not_significant
ABBA-1,1350.846649396444,0.31936382675664227,0.44799962379866826,0.7128662833434987,0.47592850472484816,0.7708169172688133,0.47592850472484816,True,tested,NM_138383,15,not_significant
ABCA1,3445.8787581644933,-0.45976009157397935,0.4227997162021756,-1.0874181650446755,0.2768520468549085,0.6052034132870722,0.2768520468549085,True,tested,NM_005502,50,not_significant
ABCA10,259.8122267830801,-4.095694934067542,0.6578714898756906,-6.225676286475727,4.794831712192824e-10,2.610077822191596e-08,4.794831712192824e-10,True,tested,NM_080282,40,down
ABCA11P,92.37485994376938,-0.7036601416387992,0.5361455819761554,-1.3124423016696496,0.1893709418704611,0.4980052854295531,0.1893709418704611,True,tested,NR_002451,3,not_significant
ABCA12,902.9817597581572,2.2559897106827043,0.3984389473895758,5.662071254487325,1.495566938536515e-08,6.113784535511528e-07,1.495566938536515e-08,True,tested,NM_173076,53,up
ABCA2,669.4612086161316,0.28475129058887944,0.5594429001112095,0.508990802336172,0.6107586711475339,0.8474155571943993,0.6107586711475339,True,tested,NM_001606,48,not_significant
ABCA3,173.94094511512188,-1.252833814200253,0.6743038662696776,-1.857966232836638,0.06317380965864558,0.2636682923427866,0.06317380965864558,True,tested,NM_001089,33,not_significant
