gene,samples_ge_min_count,retained
A2M,6,True
A2ML1,6,True
A4GALT,6,True
AAAS,6,True
AACS,6,True
AADACL1,6,True
AAK1,6,True
AARS,6,True
AARS2,6,True
AARSD1,6,True
AASDH,6,True
AASDHPPT,6,True
AASS,5,True
AATF,6,True
ABAT,6,True
ABBA-1,6,True
ABCA1,6,True
ABCA10,5,True
ABCA11P,6,True
ABCA12,6,True
ABCA2,6,True
ABCA3,6,True
ABCA5,6,True
ABCA6,6,True
ABCA7,6,True
ABCA8,6,True
ABCA9,5,True
ABCB10,6,True
ABCB6,6,True
ABCB7,6,True
ABCB8,6,True
ABCB9,6,True
ABCC1,6,True
ABCC10,6,True
ABCC3,6,True
ABCC4,6,True
ABCC5,6,True
ABCC9,6,True
ABCD1,6,True
ABCD3,6,True
ABCD4,6,True
ABCE1,6,True
ABCF1,6,True
ABCF2,6,True
ABCG1,6,True
ABHD10,6,True
ABHD11,6,True
ABHD12,6,True
ABHD13,6,True
ABHD14B,6,True
ABHD2,6,True
ABHD3,6,True
ABHD4,6,True
ABHD5,6,True
ABHD6,6,True
ABHD9,5,True
ABI1,6,True
ABI2,6,True
ABI3,6,True
ABI3BP,5,True
ABL1,6,True
ABL2,6,True
ABLIM1,6,True
ABLIM2,6,True
ABLIM3,6,True
ABO,6,True
ABR,6,True
ABT1,6,True
ABTB1,6,True
ABTB2,6,True
ACAA1,6,True
ACACA,6,True
ACACB,6,True
ACAD10,6,True
ACAD11,6,True
ACAD8,6,True
ACAD9,6,True
ACADM,6,True
ACADS,6,True
ACADSB,6,True
ACADVL,6,True
ACAP1,6,True
ACAP2,6,True
ACAP3,6,True
ACAT1,6,True
ACAT2,6,True
ACBD3,6,True
ACBD4,6,True
ACBD5,6,True
ACCS,6,True
ACD,6,True
ACE,6,True
ACHE,6,True
ACIN1,6,True
ACO1,6,True
ACO2,6,True
ACOT11,6,True
ACOT7,6,True
ACOT8,6,True
ACOT9,6,True
ACOX1,6,True
ACOX3,6,True
ACP1,6,True
ACP2,6,True
ACP5,6,True
ACP6,6,True
ACPP,6,True
ACSF2,6,True
ACSF3,6,True
ACSL1,6,True
ACSL3,6,True
ACSL4,6,True
ACSL5,6,True
ACSS1,6,True
ACSS2,6,True
ACTA1,5,True
ACTA2,6,True
ACTC1,6,True
ACTG1,6,True
ACTN1,6,True
ACTN2,6,True
ACTN4,6,True
ACTR10,6,True
ACTR1A,6,True
ACTR1B,6,True
ACTR2,6,True
ACTR3,6,True
ACTR5,6,True
ACTR6,6,True
ACTR8,6,True
ACVR1,6,True
ACVR1B,6,True
ACVR2A,6,True
ACVR2B,6,True
ACVRL1,6,True
ACY1,6,True
ADAM10,6,True
ADAM12,6,True
ADAM15,6,True
ADAM17,6,True
ADAM19,6,True
ADAM23,6,True
ADAM8,6,True
ADAM9,6,True
ADAMTS1,6,True
ADAMTS10,6,True
ADAMTS12,6,True
ADAMTS14,6,True
ADAMTS15,6,True
ADAMTS17,6,True
ADAMTS2,6,True
ADAMTS4,6,True
ADAMTS5,6,True
ADAMTS9,6,True
ADAMTSL1,5,True
ADAMTSL4,6,True
ADAMTSL5,6,True
ADAP1,6,True
ADAP2,6,True
ADAR,6,True
ADARB1,6,True
ADAT1,6,True
ADAT2,6,True
ADCK2,6,True
ADCK4,6,True
ADCK5,6,True
ADCY1,6,True
ADCY3,6,True
ADCY4,6,True
ADCY6,6,True
ADCY7,6,True
ADCY9,6,True
ADD1,6,True
ADD3,6,True
ADFP,6,True
ADH5,6,True
ADH7,6,True
ADI1,6,True
ADIPOR1,6,True
ADIPOR2,6,True
ADK,6,True
ADM,6,True
ADNP,6,True
ADNP2,6,True
ADO,6,True
ADORA2B,6,True
ADPGK,6,True
ADPRH,6,True
ADPRHL1,4,True
ADPRHL2,6,True
ADRA2A,6,True
ADRB2,6,True
ADRBK1,6,True
ADRBK2,6,True
ADRM1,6,True
ADSL,6,True
ADSS,6,True
ADSSL1,5,True
AEBP1,6,True
AEBP2,6,True
AEN,6,True
AES,6,True
AFAP1,6,True
AFAP1L1,6,True
AFAP1L2,6,True
AFF1,6,True
AFF4,6,True
AFG3L1,6,True
AFG3L2,6,True
AFMID,6,True
AFTPH,6,True
AGA,6,True
AGAP1,6,True
AGAP2,6,True
AGAP3,6,True
AGBL1,4,True
AGBL5,6,True
AGER,6,True
AGFG1,6,True
AGFG2,6,True
AGGF1,6,True
AGK,6,True
AGL,6,True
AGPAT1,6,True
AGPAT2,6,True
AGPAT3,6,True
AGPAT4,6,True
AGPAT5,6,True
AGPAT6,6,True
AGPAT9,6,True
AGPS,6,True
AGRN,6,True
AGTPBP1,6,True
AGTRAP,6,True
AGXT2L2,6,True
AHCTF1,6,True
AHCY,6,True
AHCYL1,6,True
AHCYL2,6,True
AHDC1,6,True
AHI1,6,True
AHNAK,6,True
AHNAK2,6,True
AHR,6,True
AHRR,6,True
AHSA1,6,True
AHSA2,6,True
AIF1L,6,True
AIFM1,6,True
AIFM2,6,True
AIG1,6,True
AIM1,6,True
AIM1L,6,True
AIP,6,True
AK1,6,True
AK2,6,True
AK3,6,True
AKAP1,6,True
AKAP10,6,True
AKAP11,6,True
AKAP12,6,True
AKAP13,6,True
AKAP2,6,True
AKAP6,6,True
AKAP7,5,True
AKAP8,6,True
AKAP8L,6,True
AKAP9,6,True
AKIRIN1,6,True
AKIRIN2,6,True
AKNA,6,True
AKR1A1,6,True
AKR1B1,6,True
AKR1B10,6,True
AKR1C1,6,True
AKR1C3,6,True
AKR7A2,6,True
AKT1,6,True
AKT1S1,6,True
AKT2,6,True
AKT3,6,True
ALAD,6,True
ALAS1,6,True
ALCAM,6,True
ALDH16A1,6,True
ALDH18A1,6,True
ALDH1A1,6,True
ALDH1A3,6,True
ALDH1B1,6,True
ALDH2,6,True
ALDH3A1,6,True
ALDH3A2,6,True
ALDH3B1,6,True
ALDH3B2,6,True
ALDH4A1,6,True
ALDH5A1,6,True
ALDH6A1,6,True
ALDH7A1,6,True
ALDH9A1,6,True
ALDOA,6,True
ALDOC,6,True
ALG1,6,True
ALG10,6,True
ALG10B,6,True
ALG11,6,True
ALG12,6,True
ALG13,6,True
ALG2,6,True
ALG3,6,True
ALG5,6,True
ALG6,6,True
ALG8,6,True
ALG9,6,True
ALKBH4,6,True
ALKBH5,6,True
ALKBH7,6,True
ALKBH8,6,True
ALMS1,6,True
ALOX12,5,True
ALOX12B,6,True
ALOX12P2,6,True
ALOX15B,6,True
