gene,stat
PTHLH,9.570387509430994
LAMC2,9.500733587946092
COL4A6,9.123171931497815
MMP11,8.63590886810417
SPP1,8.492742590214743
CALML5,8.295781926914684
RBP1,7.992245032253852
SERPINE1,7.7400080367065565
MMP12,7.649465206228383
CYP4F11,7.543066083709021
S100A7A,7.307417789402012
ALOX12P2,6.866696573236364
HAP1,6.8158072638148175
SLC7A8,6.733244669481674
AKR1C3,6.603259448118825
INHBA,6.56894793391373
MMP1,6.503463057884302
WNT10A,6.437406679603876
SLC2A1,6.3680338082243075
DSG2,6.330668376378895
GALNT6,6.122944654193161
COL4A5,6.112832827640594
EDIL3,6.066386949061828
TM4SF19,6.033859273603715
C16orf74,6.011818637360419
WNT7B,5.7864802508689905
TREM2,5.717573226547849
COL11A1,5.704506205632679
ABCA12,5.662071254487325
COL10A1,5.547944234677479
IRX2,5.465375181894828
TMEM45A,5.4601775064214335
TMEM63C,5.445834027128682
PPP1R14C,5.381417921699132
KLRG2,5.345346552961269
IRX4,5.325246071144003
MET,5.267735560081571
CBS,5.097157948207209
WDR66,5.087380951425097
HOXD10,5.078845940291091
NKD2,5.049401422457202
PMEPA1,5.038001076852451
OASL,5.036005370837801
GPR56,5.034074125297493
SHANK2,4.980101351769
IGF2BP2,4.9569211047961925
KLF7,4.935374560727834
HMGA2,4.93216905031749
PLEK2,4.920956174579608
SQLE,4.879089912594397
SDC4,4.871358289889953
TRPV3,4.818690144505821
ITGB4,4.802320345193588
EFNB1,4.77932543531617
AGRN,4.776050045173299
PLAG1,4.711768806284973
TMEM132A,4.699093135029353
CASK,4.654011894785878
KLK9,4.641232656080918
SLC7A11,4.630384056766285
TNFRSF12A,4.628770788161156
SEMA3C,4.621643975209065
TNK1,4.621456542846432
FOXE1,4.589044556956723
MMP10,4.578114948527411
EPB41L4B,4.557679996314498
ACOT7,4.552205136633723
ETV4,4.543578807856646
HSD17B2,4.522730590125559
KCNK1,4.494430224372118
ODC1,4.472283118487619
ODZ2,4.470019450392186
FSCN1,4.4594691490472576
CDK6,4.44819956305736
NDRG4,4.430631059333092
FANCE,4.411517522343385
HAS3,4.390348743315423
FAT1,4.366733945134294
FOXM1,4.362375058300895
LAMA3,4.360722315939344
C9orf140,4.360612968223879
SLC3A2,4.35154698006243
SLC28A3,4.304744359549272
PTK7,4.292456849927379
CSPG4,4.275242225250359
TUBB3,4.2409148191018
KCTD11,4.239500635910321
PLXNA1,4.2185866968790915
ITGB8,4.215054383856371
GPRIN1,4.204148508553992
PLAU,4.201531046046214
