refseq,gene,exons,8N,8T,33N,33T,51N,51T,mapping_status
NM_182502,TMPRSS11B,10,2592,3,7805,321,3372,9,selected
NM_003280,TNNC1,6,1684,0,1787,7,4894,559,selected
NM_152381,XIRP2,10,9915,15,10396,48,23309,7181,selected
NM_022438,MAL,3,2496,2,3585,239,1596,7,redundant_transcript
NM_001100112,MYH2,40,4389,7,7944,16,9262,1818,selected
NM_017534,MYH2,40,4402,7,7943,16,9244,1815,redundant_transcript
NM_002371,MAL,4,2697,3,3941,265,1750,8,selected
NM_001231,CASQ1,11,519,0,857,3,833,83,selected
NM_001010909,MUC21,3,4160,7,3425,516,1720,5,selected
NM_022440,MAL,2,2073,1,2937,96,1351,7,redundant_transcript
NM_022439,MAL,3,2274,2,3293,122,1505,8,redundant_transcript
NM_016190,CRNN,3,24146,49,22026,2353,12480,26,selected
NM_002465,MYBPC1,32,4809,10,4146,14,15623,1311,selected
NM_206819,MYBPC1,31,4804,10,4137,14,15594,1310,redundant_transcript
NM_206821,MYBPC1,29,4762,10,4110,14,15391,1301,redundant_transcript
NM_206820,MYBPC1,30,4765,10,4115,14,15408,1302,redundant_transcript
NM_001079810,XIRP2,9,1834,3,2018,15,4911,1482,redundant_transcript
NM_014332,SMPX,5,406,0,688,3,2347,318,selected
NM_005181,CA3,7,1840,1,4180,35,552,72,selected
NM_198060,NRAP,42,3741,4,1990,17,12531,1829,selected
NM_006175,NRAP,41,3708,4,1980,17,12438,1817,redundant_transcript
NM_000257,MYH7,40,3118,8,3767,21,4001,724,selected
NM_032578,MYPN,20,679,1,656,3,3256,321,selected
NM_203378,MB,4,4114,6,6544,59,11279,1487,redundant_transcript
NM_203377,MB,4,4064,6,6496,59,11227,1472,selected
NM_005368,MB,3,4210,6,6700,61,11738,1532,redundant_transcript
NM_001100,ACTA1,7,3334,8,3198,32,13643,1063,selected
NM_003063,SLN,2,532,1,1022,6,1384,200,selected
NM_001122853,MYOZ3,7,257,0,223,1,559,83,selected
NM_133371,MYOZ3,7,247,0,212,1,531,82,redundant_transcript
NM_207163,LMOD2,3,449,1,1032,4,2138,272,selected
NM_032546,TRIM54,10,221,0,122,0,958,81,selected
NM_187841,TRIM54,9,219,0,119,0,957,79,redundant_transcript
NM_133432,TTN,192,250473,913,159874,2383,1285719,146074,redundant_transcript
NM_133437,TTN,192,250494,913,159876,2384,1285686,146088,redundant_transcript
NM_003319,TTN,191,250461,913,159869,2383,1285565,146070,redundant_transcript
NM_015848,KRT76,9,5919,26,1902,160,285,6,selected
NM_145244,DDIT4L,3,432,1,935,6,1005,227,selected
NM_014391,ANKRD1,9,1207,4,790,11,4508,743,selected
NM_002272,KRT4,9,76461,353,99082,20651,47411,31,selected
NM_133378,TTN,312,328503,1204,206612,3178,1675945,191624,selected
NM_198274,SMYD1,10,490,0,511,7,1419,149,selected
NM_003476,CSRP3,6,636,2,673,8,4733,424,selected
NM_153235,TXLNB,10,393,0,371,5,1848,211,selected
NM_181839,PKIA,3,318,0,412,6,1400,131,redundant_transcript
NM_006823,PKIA,4,318,0,414,6,1401,134,selected
NM_014424,HSPB7,3,608,2,579,2,2871,397,selected
NM_002612,PDK4,11,1992,9,356,43,8449,273,selected
NM_007078,LDB3,13,1492,3,1297,26,2742,228,redundant_transcript
NM_001976,ENO3,12,1092,4,1292,74,4841,223,selected
NM_053013,ENO3,12,1085,4,1287,74,4832,223,redundant_transcript
NM_006890,CEACAM7,5,186,0,108,12,308,0,selected
NM_005609,PYGM,20,1399,22,1267,16,2171,103,selected
NM_001099736,CKMT2,10,358,1,366,7,1666,97,redundant_transcript
NM_001825,CKMT2,11,358,1,366,7,1665,97,selected
NM_133379,TTN,46,44904,249,28732,470,235154,25868,redundant_transcript
NM_001099735,CKMT2,10,357,1,366,7,1665,97,redundant_transcript
NM_014440,IL1F6,4,367,10,1824,45,802,1,selected
NM_006063,KBTBD10,6,4325,24,3115,17,16007,1461,selected
NM_002274,KRT13,7,393738,2291,359600,106047,211895,1833,redundant_transcript
NM_153490,KRT13,8,393801,2291,359693,106059,211919,1833,selected
NM_002469,MYF6,3,168,0,157,0,1004,130,selected
NM_001080426,DUSP27,5,336,1,262,2,1600,202,selected
NM_001122965,RPTN,3,894,1,693,18,675,81,selected
NM_001111285,IGF1,4,100,11,107,2,1010,38,redundant_transcript
NM_006073,TRDN,41,1326,7,1785,9,4646,637,selected
NM_144617,HSPB6,3,2207,11,1496,44,3597,325,selected
NM_004533,MYBPC2,28,966,11,486,6,8045,457,selected
NM_173167,UNC45B,20,329,0,381,11,1751,145,redundant_transcript
NM_001033576,UNC45B,20,329,0,381,11,1751,145,selected
NM_001080115,LDB3,7,432,1,351,10,834,63,redundant_transcript
NM_199459,C10orf71,4,333,1,220,6,975,167,selected
NM_153020,RBM24,3,287,1,370,5,1254,200,selected
NM_001080114,LDB3,13,1616,11,1411,20,2839,230,selected
NM_198271,LMOD3,3,399,2,396,0,1138,140,selected
NM_013353,TMOD4,10,149,0,115,3,629,76,selected
NM_057088,KRT3,9,1069,7,3774,358,885,5,selected
NM_001103,ACTN2,21,1460,10,1495,24,6789,785,selected
