gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pvalue_model,model_converged,test_status,refseq,exons,direction
PTHLH,718.6752579700759,3.914358036974468,0.4090072667503926,9.570387509430994,1.0650572042621896e-21,7.992493562841832e-19,1.0650572042621896e-21,True,tested,NM_198965,5,up
LAMC2,4495.195235265935,3.7867310915133334,0.39857249510897663,9.500733587946092,2.0841683158684487e-21,1.2880160192067012e-18,2.0841683158684487e-21,True,tested,NM_005562,23,up
COL4A6,628.1432073527469,3.7225431909367894,0.4080316822797872,9.123171931497815,7.295709899961608e-20,3.193697008708194e-17,7.295709899961608e-20,True,tested,NM_001847,45,up
MMP11,506.9214887828907,4.502150692258248,0.5213291109273366,8.63590886810417,5.826194524683446e-18,1.530249991908107e-15,5.826194524683446e-18,True,tested,NM_005940,8,up
SPP1,1641.4354542820993,5.22543097190352,0.6152819205805451,8.492742590214743,2.018169644553992e-17,4.511253252273242e-15,2.018169644553992e-17,True,tested,NM_001040058,7,up
CALML5,1018.9477046894955,3.8201957254964065,0.4604985713404825,8.295781926914684,1.0787326624939602e-16,2.023779527171705e-14,1.0787326624939602e-16,True,tested,NM_017422,1,up
RBP1,286.20095887175324,3.764442379215191,0.47101188264664606,7.992245032253852,1.3250334767100685e-15,2.0471767215170558e-13,1.3250334767100685e-15,True,tested,NM_002899,4,up
SERPINE1,1729.452268134478,2.9685047941195815,0.38352735294868084,7.7400080367065565,9.94105303058555e-15,1.2859427773426957e-12,9.94105303058555e-15,True,tested,NM_000602,9,up
MMP12,260.26426270638274,4.314874166077305,0.5640752718979659,7.649465206228383,2.0181687261809522e-14,2.4371127169261015e-12,2.0181687261809522e-14,True,tested,NM_002426,10,up
CYP4F11,222.42974732997456,3.67877560128224,0.4877029526796005,7.543066083709021,4.5904838261616195e-14,5.242132943223258e-12,4.5904838261616195e-14,True,tested,NM_001128932,13,up
S100A7A,1024.0991435445,4.046377981303938,0.5537356830989494,7.307417789402012,2.723248323355975e-13,2.6738735406708296e-11,2.723248323355975e-13,True,tested,NM_176823,3,up
ALOX12P2,260.62472185133885,3.269727924642647,0.47617189572446494,6.866696573236364,6.570561640140889e-12,5.392993796196889e-10,6.570561640140889e-12,True,tested,NR_002710,14,up
HAP1,203.56895574297582,3.5804462133667005,0.5253150617059438,6.8158072638148175,9.373589675312268e-12,7.517475811361121e-10,9.373589675312268e-12,True,tested,NM_003949,12,up
SLC7A8,2035.6098575779436,2.7469466030597114,0.4079677388689295,6.733244669481674,1.65920703113775e-11,1.2540740337505903e-09,1.65920703113775e-11,True,tested,NM_012244,11,up
AKR1C3,1289.2761061644132,3.4877593778050735,0.5281875421082669,6.603259448118825,4.022147129396343e-11,2.7984554795654287e-09,4.022147129396343e-11,True,tested,NM_003739,9,up
INHBA,662.0275894903979,3.6313161757357313,0.5528002676027027,6.56894793391373,5.067199709562144e-11,3.4568831265363564e-09,5.067199709562144e-11,True,tested,NM_002192,3,up
MMP1,3864.399870575933,3.614506296379201,0.555781783368055,6.503463057884302,7.849170422170808e-11,5.166161329861022e-09,7.849170422170808e-11,True,tested,NM_002421,10,up
WNT10A,366.13318828546517,2.768918645459671,0.430129520049222,6.437406679603876,1.2153199584388164e-10,7.691657520095304e-09,1.2153199584388164e-10,True,tested,NM_025216,4,up
SLC2A1,4076.809327986976,2.6743128617093515,0.41995896099915175,6.3680338082243075,1.9146672017253644e-10,1.1832643306662752e-08,1.9146672017253644e-10,True,tested,NM_006516,10,up
DSG2,1335.4463808237772,2.494200706459172,0.3939869470600575,6.330668376378895,2.4410147778605713e-10,1.4407472615844472e-08,2.4410147778605713e-10,True,tested,NM_001943,15,up
GALNT6,516.4821731846009,2.99573234827125,0.48926333936722577,6.122944654193161,9.186161043236751e-10,4.7777132633784807e-08,9.186161043236751e-10,True,tested,NM_007210,12,up
COL4A5,1805.149862360847,2.37881038157466,0.38915024320938657,6.112832827640594,9.787788934020868e-10,5.0161224654060115e-08,9.787788934020868e-10,True,tested,NM_000495,51,up
EDIL3,362.707736822026,2.8422696055900785,0.46852758148400636,6.066386949061828,1.3081973302904037e-09,6.482981675486311e-08,1.3081973302904037e-09,True,tested,NM_005711,11,up
TM4SF19,127.78044832356177,3.393716616386366,0.5624454370742182,6.033859273603715,1.6008949239118157e-09,7.786575032693304e-08,1.6008949239118157e-09,True,tested,NM_138461,5,up
C16orf74,144.42568399471506,3.127695531833726,0.5202577989290422,6.011818637360419,1.8345349721743012e-09,8.760738371665095e-08,1.8345349721743012e-09,True,tested,NM_206967,4,up
WNT7B,597.8926834567602,2.3457076958511087,0.40537729226654484,5.7864802508689905,7.187653277811829e-09,3.172835518348364e-07,7.187653277811829e-09,True,tested,NM_058238,4,up
TREM2,68.292463661299,3.6040736473516892,0.6303502385622709,5.717573226547849,1.0805611511422925e-08,4.5591869292774803e-07,1.0805611511422925e-08,True,tested,NM_018965,5,up
COL11A1,355.0947741276328,3.105028121606005,0.5443114635479006,5.704506205632679,1.1668084345812893e-08,4.88386032418766e-07,1.1668084345812893e-08,True,tested,NM_001854,67,up
ABCA12,902.9817597581572,2.2559897106827043,0.3984389473895758,5.662071254487325,1.495566938536515e-08,6.113784535511528e-07,1.495566938536515e-08,True,tested,NM_173076,53,up
COL10A1,205.82904950355115,3.336589417235706,0.6014100495784225,5.547944234677479,2.890480307789275e-08,1.1459390986277027e-06,2.890480307789275e-08,True,tested,NM_000493,3,up
IRX2,90.45680307576883,3.0739928451761265,0.5624486412862114,5.465375181894828,4.619287371888044e-08,1.7647357501474834e-06,4.619287371888044e-08,True,tested,NM_001134222,5,up
TMEM45A,644.2140961645913,2.306948626609241,0.4225043277249059,5.4601775064214335,4.756587694902675e-08,1.8106054464727356e-06,4.756587694902675e-08,True,tested,NM_018004,6,up
TMEM63C,345.42241773218274,2.790766417589957,0.5124589555406244,5.445834027128682,5.1563200425304673e-08,1.9486438261447874e-06,5.1563200425304673e-08,True,tested,NM_020431,24,up
PPP1R14C,744.7680332503911,2.213101022229952,0.4112486810039809,5.381417921699132,7.390139845548294e-08,2.705254676562034e-06,7.390139845548294e-08,True,tested,NM_030949,4,up
KLRG2,151.54953014744788,2.624098640279475,0.4909127246063682,5.345346552961269,9.024422225259374e-08,3.230010642227804e-06,9.024422225259374e-08,True,tested,NM_198508,5,up
IRX4,148.46259169281947,3.1306305994872647,0.5878846831982589,5.325246071144003,1.0081646478789367e-07,3.574051388542853e-06,1.0081646478789367e-07,True,tested,NM_016358,5,up
MET,1055.8839036756174,2.111728012196649,0.4008796546658748,5.267735560081571,1.381168712929231e-07,4.788963200671453e-06,1.381168712929231e-07,True,tested,NM_000245,21,up
CBS,165.7481964298217,2.8234324730219256,0.553922892268817,5.097157948207209,3.4479063986784724e-07,1.1111565835741113e-05,3.4479063986784724e-07,True,tested,NM_000071,17,up
