gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pvalue_model,model_converged,test_status,refseq,exons,direction
TMPRSS11B,2537.416266179844,-7.4511254537243365,0.6426216197170902,-11.594887605873957,4.374395183021768e-31,4.5957395792826694e-27,4.374395183021768e-31,True,tested,NM_182502,10,down
PTGFR,337.09987013875843,-5.199348461614253,0.49006975610322334,-10.609404879331331,2.6945985925419475e-26,1.415472640662285e-22,2.6945985925419475e-26,True,tested,NM_001039585,4,down
PYGM,804.9029183309367,-5.489667391550148,0.5193486132337112,-10.570293732698872,4.09210930746913e-26,1.4330566794756894e-22,4.09210930746913e-26,True,tested,NM_005609,20,down
CRNN,11573.5361434812,-7.304206036280562,0.6933677521727598,-10.53438959829306,5.997107086013928e-26,1.5751401761415582e-22,5.997107086013928e-26,True,tested,NM_016190,3,down
MAL,1623.8277049182973,-6.965039711901601,0.6758497105073362,-10.305604343121187,6.647254738560775e-25,1.39672116566639e-21,6.647254738560775e-25,True,tested,NM_002371,4,down
KRT78,2484.771127956949,-4.250162552956739,0.4212229938183245,-10.09005352350222,6.113617438993357e-24,9.175666402009174e-21,6.113617438993357e-24,True,tested,NM_173352,9,down
IL1F6,536.753548130292,-6.193626204368931,0.6132092708659665,-10.100346649394861,5.5047258662492335e-24,9.175666402009174e-21,5.5047258662492335e-24,True,tested,NM_014440,4,down
MYBPC1,3589.1561152231534,-7.161126732848898,0.7217737461801252,-9.92156720959725,3.354471207422062e-23,4.405259313147023e-20,3.354471207422062e-23,True,tested,NM_002465,32,down
MYBPC2,1143.5495546960744,-5.494881972007029,0.5574911193272538,-9.856447540613592,6.428362531167145e-23,7.504041861382448e-20,6.428362531167145e-23,True,tested,NM_004533,28,down
DES,12329.639351871243,-5.323014482146528,0.5407231586737347,-9.844250975309837,7.257781191014705e-23,7.625024919280049e-20,7.257781191014705e-23,True,tested,NM_001927,9,down
ATP2A1,792.0335952823176,-4.629590670653027,0.4739712795177687,-9.767660764937697,1.5498920866732562e-22,1.4802878420535663e-19,1.5498920866732562e-22,True,tested,NM_004320,23,down
