gene,in_library
A2M,True
A2ML1,False
A4GALT,False
AAAS,True
AACS,False
AADACL1,False
AAK1,False
AARS,False
AARS2,False
AARSD1,False
AASDH,False
AASDHPPT,False
AASS,False
AATF,False
ABAT,True
ABBA-1,False
ABCA1,True
ABCA10,False
ABCA11P,False
ABCA12,False
ABCA2,True
ABCA3,True
ABCA5,True
ABCA6,True
ABCA7,False
ABCA8,True
ABCA9,True
ABCB10,False
ABCB6,True
ABCB7,True
ABCB8,True
ABCB9,True
ABCC1,True
ABCC10,False
ABCC3,True
ABCC4,True
ABCC5,True
ABCC9,False
ABCD1,True
ABCD3,True
ABCD4,False
ABCE1,True
ABCF1,False
ABCF2,True
ABCG1,False
ABHD10,False
ABHD11,False
ABHD12,False
ABHD13,False
ABHD14B,False
ABHD2,True
ABHD3,False
ABHD4,True
ABHD5,False
ABHD6,True
ABHD9,False
ABI1,True
ABI2,False
ABI3,False
ABI3BP,True
ABL1,True
ABL2,False
ABLIM1,True
ABLIM2,False
ABLIM3,False
ABO,False
ABR,True
ABT1,False
ABTB1,False
ABTB2,False
ACAA1,True
ACACA,True
ACACB,False
ACAD10,False
ACAD11,False
ACAD8,False
ACAD9,False
ACADM,True
ACADS,True
ACADSB,True
ACADVL,True
ACAP1,False
ACAP2,False
ACAP3,False
ACAT1,True
ACAT2,True
ACBD3,False
ACBD4,False
ACBD5,False
ACCS,False
ACD,False
ACE,True
ACHE,True
ACIN1,False
ACO1,False
ACO2,True
ACOT11,False
ACOT7,False
ACOT8,True
ACOT9,False
ACOX1,True
ACOX3,True
ACP1,True
ACP2,True
ACP5,True
ACP6,False
ACPP,False
ACSF2,False
ACSF3,False
ACSL1,True
ACSL3,True
ACSL4,True
ACSL5,True
ACSS1,True
ACSS2,True
ACTA1,True
ACTA2,True
ACTC1,True
ACTG1,True
ACTN1,True
ACTN2,True
ACTN4,True
ACTR10,False
ACTR1A,False
ACTR1B,False
ACTR2,True
ACTR3,True
ACTR5,False
ACTR6,False
ACTR8,False
ACVR1,True
ACVR1B,True
ACVR2A,True
ACVR2B,False
ACVRL1,True
ACY1,False
ADAM10,True
ADAM12,True
ADAM15,True
ADAM17,True
ADAM19,True
ADAM23,True
ADAM8,True
ADAM9,True
ADAMTS1,True
ADAMTS10,False
ADAMTS12,False
ADAMTS14,False
ADAMTS15,False
ADAMTS17,False
ADAMTS2,False
ADAMTS4,False
ADAMTS5,True
ADAMTS9,False
ADAMTSL1,False
ADAMTSL4,False
ADAMTSL5,False
ADAP1,False
ADAP2,False
ADAR,True
ADARB1,False
ADAT1,False
ADAT2,False
ADCK2,False
ADCK4,False
ADCK5,False
ADCY1,True
ADCY3,False
ADCY4,False
ADCY6,True
ADCY7,False
ADCY9,True
ADD1,True
ADD3,True
ADFP,False
ADH5,True
ADH7,True
ADI1,False
ADIPOR1,True
ADIPOR2,True
